"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","약국영업면적","지정일자",
"75","약국","01_01_06_P","4390000","PHMD120264390029084000001","2026-01-05","","01","영업/정상","13","영업중","","","","","","","","충청북도 충주시 칠금동 855","충청북도 충주시 봉계1길 58, 1층 (칠금동)","27361","곰약국","2026-01-05 13:56:07","I","2026-01-07 00:20:36","","281475.822678001","387034.093222287","100","20260105",
"76","약국","01_01_06_P","3430000","PHMD120193430019084000005","2019-02-25","","03","폐업","03","폐업","2026-01-01","","","","053-352-0085","","","대구광역시 서구 원대동3가 1367번지 3호","대구광역시 서구 팔달로 176, 1층 (원대동3가)","41716","행운약국","2026-01-05 13:30:31","U","2026-01-07 02:40:00","","341615.713225319","266493.270800116","33","20190225",
"77","약국","01_01_06_P","5590000","PHMD120145590021084000002","2014-03-26","","01","영업/정상","13","영업중","","","","","031-858-4575","","482-060","경기도 양주시 덕정동 208번지 1호 해밀프라자 209호","경기도 양주시 회정로 120, 209호 (덕정동)","11456","연세진약국","2026-01-05 20:45:34","U","2026-01-07 02:40:00","","205784.864369849","481630.587568533","44.96","20140326",
"78","약국","01_01_06_P","3220000","PHMD120193220033084000023","2019-04-24","","03","폐업","03","폐업","2025-12-28","","","","","","","서울특별시 강남구 수서동 716번지 사이룩스오피스텔 서관동 1층 101호","서울특별시 강남구 광평로 295, 사이룩스오피스텔 서관동 1층 101호 (수서동)","06349","수서홍약국","2026-01-05 13:28:48","U","2026-01-07 02:40:00","","209144.783150288","442922.611326787","31","20190424",
"79","약국","01_01_06_P","4301000","PHMD120164300012084000007","2016-12-20","","01","영업/정상","13","영업중","","","","","033-458-0828","","","","강원특별자치도 철원군 서면 와수로 162-2 (와수리 약국)","24058","와수리온누리약국","2026-01-05 17:48:33","U","2026-01-07 02:40:00","","238280.298177478","526218.047529898","64","20161220",
"80","약국","01_01_06_P","4950000","PHMD120244950018084000001","2024-11-07","","02","휴업","02","휴업","","2025-05-01","2026-12-31","","061-284-8800","","","전라남도 무안군 삼향읍 남악리 2308 102호","전라남도 무안군 삼향읍 남악로 243, 102호","58567","최고약국","2026-01-05 15:21:57","U","2026-01-07 02:40:00","","150987.049654908","145404.254300265","138","20241107",
"81","약국","01_01_06_P","3600000","PHMD120023600020084000005","2002-04-22","","03","폐업","03","폐업","2026-01-01","","","","062-383-8884","","","광주광역시 서구 치평동 1239 롯데마트","광주광역시 서구 시청로 40, 1층 (치평동)","61948","마트약국","2026-01-05 11:11:32","U","2026-01-07 02:40:00","","186476.010874769","183702.292924632","28.4","20020422",
"82","약국","01_01_06_P","4510000","PHMD120204510030084000001","2020-01-01","","03","폐업","03","폐업","2026-01-06","","","","041-933-0092","","","충청남도 보령시 죽정동 669번지 5호","충청남도 보령시 지장골길 69 (죽정동)","33443","팜플러스약국","2026-01-05 19:59:30","U","2026-01-07 02:40:00","","164271.662860801","317632.333706849","41.87","20200101",
"83","약국","01_01_06_P","3710000","PHMD120223710033084000002","2022-03-31","","01","영업/정상","13","영업중","","","","","","","","울산광역시 동구 전하동 779 스위첸 웰츠타워 1차 상가동 405호","울산광역시 동구 방어진순환도로 863(전하동, 스위첸 웰츠타워 1차)","44033","건강백세약국","2026-01-05 09:27:36","U","2026-01-07 02:40:00","","420342.624791293","226962.780182974","117","20220331",
"84","약국","01_01_06_P","3340000","PHMD120073340025084000008","2007-06-15","","01","영업/정상","13","영업중","","","","","051-206-4422","","","부산광역시 사하구 신평동 589-2","부산광역시 사하구 하신번영로 199, 1층 (신평동)","49431","하남우리들약국","2026-01-05 13:05:49","U","2026-01-07 02:40:00","","378513.090586414","179501.049341468","99.12","20070615",
"85","약국","01_01_06_P","4060000","PHMD120234060477084000003","2023-05-04","","01","영업/정상","13","영업중","","","","","031-952-5700","","","경기도 파주시 문산읍 당동리 904","경기도 파주시 문산읍 방촌로 1675-22","10816","가까운 약국","2026-01-05 17:32:45","U","2026-01-07 02:40:00","","180700.192616853","484643.845173095","64.25","20230504",
"86","약국","01_01_06_P","3910000","PHMD120243910165084000004","2024-05-23","","01","영업/정상","13","영업중","","","","","031-6192-0310","","","경기도 평택시 고덕동 1695 삼성전자(주) 평택캠퍼스","경기도 평택시 삼성로 114, 삼성전자(주) 평택캠퍼스 사무3동 2층 (고덕동)","17786","삼동약국","2026-01-05 15:03:36","U","2026-01-07 02:40:00","","205276.542163998","392561.65560657","43.2","20240523",
"87","약국","01_01_06_P","3250000","PHMD119993250021084000001","1999-12-28","","01","영업/정상","13","영업중","","","","","051-441-8275","","600-025","부산광역시 중구 동광동5가 15번지 78호","부산광역시 중구 동영로 9-2 (동광동5가)","48918","메리놀약국","2026-01-05 15:36:56","U","2026-01-07 02:40:00","","385325.286704541","180675.864874955","48.76","19991228",
"88","약국","01_01_06_P","3340000","PHMD120253340025084000004","2025-11-28","","01","영업/정상","13","영업중","","","","","051-208-2229","","","","부산광역시 사하구 낙동대로 214-1, 1층 102호 (괴정동)","49338","다솜약국","2026-01-05 11:27:53","U","2026-01-07 02:40:00","","381683.180237749","179741.922080363","26.72","20251128",
"89","약국","01_01_06_P","4080000","PHMD120124080023084000006","2022-01-03","","01","영업/정상","13","영업중","","","","","672-2739","","","경기도 안성시 당왕동 544-4","경기도 안성시 대학로 65 (당왕동)","17570","늘푸른 온누리 약국","2026-01-05 09:14:13","U","2026-01-07 02:40:00","","223622.76655099","390320.874563246","55.8","20220103",
"90","약국","01_01_06_P","3240000","PHMD119813240033084000005","1981-11-04","","01","영업/정상","13","영업중","","","","","02-478-9587","","134-851","서울특별시 강동구 성내동 553번지 20호","서울특별시 강동구 성내로 4 (성내동)","05398","강동새로운약국","2026-01-05 11:26:10","U","2026-01-07 02:40:00","","210641.175203495","447579.166945103","24.8","19811104",
"91","약국","01_01_06_P","3050000","PHMD120253050034084000013","2025-07-17","","01","영업/정상","13","영업중","","","","","02-6449-7004","","","서울특별시 동대문구 이문동 305-59 1층","서울특별시 동대문구 휘경로 12, 1층 (이문동)","02441","든든약국","2026-01-05 12:22:56","U","2026-01-07 02:40:00","","205341.673793045","454835.667578621","22.49","20250717",
"92","약국","01_01_06_P","4681000","PHMD120134680066084000001","2013-01-03","","01","영업/정상","13","영업중","","","","","063-832-0760","","","전북특별자치도 익산시 영등동 852번지 4호","전북특별자치도 익산시  무왕로  1101 (영등동)","","보람찬약국","2026-01-05 10:13:14","U","2026-01-07 02:40:00","","198055.465580833","273173.172547794","72","20130103",
"93","약국","01_01_06_P","4400000","PHMD119804400020084000001","1980-06-25","","01","영업/정상","13","영업중","","","","","043-648-5129","","","충청북도 제천시 수산면 수산리 597-9","충청북도 제천시 수산면 월악로26길 52-1","27220","수산약국","2026-01-05 09:04:58","U","2026-01-07 02:40:00","","305283.058264221","381977.60820381","33","19800625",
"94","약국","01_01_06_P","3090000","PHMD120173090033084000008","2017-04-18","","01","영업/정상","13","영업중","","","","","02-900-2055","","","서울특별시 도봉구 창동 661번지 38호 1층 102호","서울특별시 도봉구 도봉로 496, 1층 102호 (창동)","01453","참좋은약국","2026-01-05 10:02:43","U","2026-01-07 02:40:00","","203084.15164045","460814.414238496","45.03","20170418",
"95","약국","01_01_06_P","4490000","PHMD120264490260084000001","2026-01-06","","01","영업/정상","13","영업중","","","","","041-572-8399","","","충청남도 천안시 동남구 봉명동 208-3","충청남도 천안시 동남구 봉명로 58 (봉명동)","31151","메가센트럴약국","2026-01-06 10:04:11","I","2026-01-09 00:20:01","","211976.663648754","367289.597631146","446.67","20260106",
"96","약국","01_01_06_P","4510000","PHMD120264510030084000001","2026-01-07","","01","영업/정상","13","영업중","","","","","041-933-0092","","","충청남도 보령시 죽정동 669-5","충청남도 보령시 지장골길 69, 101호 (죽정동)","33443","팜플러스 약국","2026-01-07 11:50:49","I","2026-01-09 00:20:01","","164271.662860801","317632.333706849","41.87","20260107",
"97","약국","01_01_06_P","4050000","PHMD120264050149084000001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 수지구 성복동 33-1 수지 골드프라자1","경기도 용인시 수지구 성복2로 17, 수지 골드프라자1 114-1호 (성복동)","16860","성복나은약국","2026-01-06 11:16:34","I","2026-01-09 00:20:01","","207127.809553669","423202.488409925","60.28","20260106",
"98","약국","01_01_06_P","3460000","PHMD120263460023084000001","2026-01-07","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 신매동 224-4","대구광역시 수성구 달구벌대로 3250, 103호 (신매동)","42277","기쁨약국","2026-01-07 13:29:36","I","2026-01-09 00:20:01","","354562.880456567","261161.23834989","36.3","20260107",
"99","약국","01_01_06_P","3940000","PHMD120263940140084000001","2026-01-07","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산서구 일산동 955 아카메디","경기도 고양시 일산서구 고양대로 632, 아카메디 1층 106,117호 (일산동)","10352","다올약국","2026-01-07 16:12:20","I","2026-01-09 00:20:01","","179311.215713947","464812.311698401","99.38","20260107",
"100","약국","01_01_06_P","3510500","PHMD120263510513084000001","2026-01-12","","01","영업/정상","13","영업중","","","","","032-874-0888","","","인천광역시 미추홀구 주안동 24-68","인천광역시 미추홀구 염창로 51, 1층 103호 (주안동)","22128","주안팔팔약국","2026-01-07 16:16:02","I","2026-01-09 00:20:01","","171575.834730522","440469.450301891","31.1","20260112",
"101","약국","01_01_06_P","3490000","PHMD120253490019084000004","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","","인천광역시 중구 차이나타운로 52, 1층 1호 (북성동2가)","22312","니하오안녕약국","2026-01-06 17:52:29","I","2026-01-09 00:20:01","","166200.721714584","441499.769640636","216.73","20251230",
"102","약국","01_01_06_P","4520000","PHMD120044520031084000004","2004-05-20","","02","휴업","02","휴업","","2026-01-07","2026-02-28","","041-545-2284","","","충청남도 아산시 모종동 566번지 12호","충청남도 아산시 삼동로40번길 33 (모종동)","31521","아산약국","2026-01-07 11:47:16","U","2026-01-09 02:40:00","","201241.052791637","364648.719332871","49.6","20040520",
"103","약국","01_01_06_P","3520000","PHMD120133520019084000001","2013-02-28","","01","영업/정상","13","영업중","","","","","032-817-9082","","406-819","인천광역시 연수구 연수동 634번지 우성2차@상가 101호","인천광역시 연수구 원인재로 180, 101호 (연수동, 연수우성2차아파트상가)","21931","봄빛약국","2026-01-06 10:37:28","U","2026-01-09 02:40:00","","172046.025602008","434468.611547525","37.34","20130228",
"104","약국","01_01_06_P","4520000","PHMD120174520031084000020","2017-10-30","","03","폐업","03","폐업","2025-12-31","","","","041-548-4292","","","충청남도 아산시 배방읍 북수리 1449번지","충청남도 아산시 배방읍 북수로 103, 1층","31491","노벨약국","2026-01-07 11:47:37","U","2026-01-09 02:40:00","","206376.324367875","363628.683180266","61.04","20171030",
"105","약국","01_01_06_P","5590000","PHMD120115590021084000004","2011-02-18","","03","폐업","03","폐업","2026-01-07","","","","031-836-7205","","482-844","경기도 양주시 광적면 석우리 720번지 5호","경기도 양주시 광적면 가래비길 148","11419","아침향기약국","2026-01-07 17:06:10","U","2026-01-09 02:40:00","","198458.830901622","480460.010722368","63.37","20110218",
"106","약국","01_01_06_P","4060000","PHMD120194060023084000007","2019-04-18","","01","영업/정상","13","영업중","","","","","031-943-2729","","","경기도 파주시 금촌동 237번지 1호","경기도 파주시 새꽃로 62, 107호 (금촌동)","10926","베스트소망약국","2026-01-07 11:44:43","U","2026-01-09 02:40:00","","179569.724366396","472580.265825203","54.39","20190418",
"107","약국","01_01_06_P","4170000","PHMD120124170019084000003","2012-03-12","","01","영업/정상","13","영업중","","","","","031-775-7273","","","","경기도 양평군 양평읍 시민로 40","12561","신우리약국","2026-01-07 10:13:30","U","2026-01-09 02:40:00","","243799.953542541","443225.810142543","67.1","20120312",
"108","약국","01_01_06_P","4060000","PHMD120174060023084000011","2017-08-21","","01","영업/정상","13","영업중","","","","","031-957-7582","","","경기도 파주시 금촌동 988-8 금촌크리닉센터 109,110호","경기도 파주시 새꽃로 27, 금촌크리닉센터 109,110호 (금촌동)","10915","나은약국","2026-01-06 15:02:02","U","2026-01-09 02:40:00","","179514.147452588","472240.187407436","53.6","20170821",
"109","약국","01_01_06_P","4060000","PHMD120074060023084000011","2007-10-22","","01","영업/정상","13","영업중","","","","","031-947-0309","","","경기도 파주시 광탄면 신산리 575-14","경기도 파주시 광탄면 등원로 526, 1층 3호","10948","중앙당약국","2026-01-07 11:05:43","U","2026-01-09 02:40:00","","186320.645761247","475558.8776637","66.32","20071022",
"110","약국","01_01_06_P","3460000","PHMD120193460023084000021","2019-10-28","","01","영업/정상","13","영업중","","","","","053-217-6933","","","대구광역시 수성구 범물동 1321-1","대구광역시 수성구 범안로 70, 1층 (범물동)","42241","용지봉약국","2026-01-06 11:24:18","U","2026-01-09 02:40:00","","348657.046329215","258788.02115363","39","20191028",
"111","약국","01_01_06_P","3220000","PHMD120223220033084000006","2022-02-23","","03","폐업","03","폐업","2025-12-31","","","","02-2088-2851","","","서울특별시 강남구 신사동 547-2","서울특별시 강남구 가로수길 78, 1층 (신사동)","06029","밍약국","2026-01-07 13:01:28","U","2026-01-09 02:40:00","","201942.124829253","446761.12623739","26.4","20220223",
"112","약국","01_01_06_P","3730000","PHMD120173730017084000004","2017-05-29","","01","영업/정상","13","영업중","","","","","052-211-8418","","","","울산광역시 울주군 범서읍 천상중앙길 80","44928","천상약국","2026-01-07 16:05:07","U","2026-01-09 02:40:00","","401907.614524927","231542.624183339","48.55","20170529",
"113","약국","01_01_06_P","4820000","PHMD120004820026084000009","1996-12-24","","01","영업/정상","13","영업중","","","","","723-6669","","","전라남도 순천시 조례동 839번지 3호","전라남도 순천시 봉화3길 14 (조례동)","57934","명성온누리약국","2026-01-07 11:33:34","U","2026-01-09 02:40:00","","247416.541791859","162837.091534413","132","19961224",
"114","약국","01_01_06_P","5050000","PHMD120245050041084000001","2024-01-05","","01","영업/정상","13","영업중","","","","","054-776-9927","","","경상북도 경주시 석장동 1108-4","경상북도 경주시 동대로 112 (석장동)","38067","보은약국","2026-01-07 17:52:50","U","2026-01-09 02:40:00","","398344.017521256","264347.388149804","116.45","20240105",
"115","약국","01_01_06_P","3640000","PHMD120243640023084000002","2024-04-18","","01","영업/정상","13","영업중","","","","","042-622-0366","","","대전광역시 동구 용전동 51-1","대전광역시 동구 한밭대로 1254, 1층 (용전동)","34543","365열린약국","2026-01-06 11:03:55","U","2026-01-09 02:40:00","","239056.731602686","317296.780448572","43.1","20240418",
"116","약국","01_01_06_P","3940000","PHMD120243940138084000003","2024-05-14","","02","휴업","02","휴업","","2026-01-05","2026-05-16","","0319661303","","","경기도 고양시 덕양구 원흥동 728","경기도 고양시 덕양구 서오릉로 640, 101(일부)호 (원흥동)","10550","유진약국","2026-01-07 09:26:55","U","2026-01-09 02:40:00","","188679.370629719","459304.482786154","30","20240514",
"117","약국","01_01_06_P","3290000","PHMD120053290024084000004","2005-05-03","","03","폐업","03","폐업","2026-01-01","","","","051-808-5002","","614-844","부산광역시 부산진구 부전동 83번지","부산광역시 부산진구 중앙대로 770 (부전동)","47244","푸른약국","2026-01-06 15:56:26","U","2026-01-09 02:40:00","","387811.305023568","186582.282898676","19.8","20050503",
"118","약국","01_01_06_P","3250000","PHMD120123250021084000002","2012-04-10","","01","영업/정상","13","영업중","","","","","051-245-1081","","600-818","부산광역시 중구 창선동2가 21번지 2호 3,4,6번지","부산광역시 중구 광복로 33 (창선동2가)","48946","세명약국","2026-01-06 10:21:19","U","2026-01-09 02:40:00","","384923.565817085","179708.747800094","172.5","20120410",
"119","약국","01_01_06_P","3740000","PHMD120233740033084000002","2023-01-19","","01","영업/정상","13","영업중","","","","","031-225-6066","","","경기도 수원시 팔달구 인계동 1124 한국교직원공제회 경기회관","경기도 수원시 팔달구 권광로 178, 한국교직원공제회 경기회관 102호 (인계동)","16488","수원약국","2026-01-06 17:20:00","U","2026-01-09 02:40:00","","202867.593879545","417926.366209221","86.27","20230119",
"120","약국","01_01_06_P","5380000","PHMD120235380021084000001","2023-01-02","","01","영업/정상","13","영업중","","","","","055-365-4100","","","경상남도 양산시 동면 내송리 0","경상남도 양산시 동면 내송내안2길 29, 1층 104호","50644","내송드림약국","2026-01-07 13:53:58","U","2026-01-09 02:40:00","","","","0","20230102",
"121","약국","01_01_06_P","5670000","PHMD120165670066084000019","2016-11-07","","01","영업/정상","13","영업중","","","","","055-242-8275","","","경상남도 창원시 마산합포구 장군동4가 26번지 86호","경상남도 창원시 마산합포구 완월동15길 15 (장군동4가, 청원그린빌라)","51264","새한독약국","2026-01-07 09:22:14","U","2026-01-09 02:40:00","","342567.848783187","190065.822732018","63","20161107",
"122","약국","01_01_06_P","5130000","PHMD120255130030084000003","2025-07-01","","01","영업/정상","13","영업중","","","","","053-255-6151","","","경상북도 경산시 와촌면 소월리 31-1","경상북도 경산시 와촌면 금송로 405","38412","와촌경북약국","2026-01-07 17:08:34","U","2026-01-09 02:40:00","","365553.671757835","273230.947650608","150","20250701",
"123","약국","01_01_06_P","3940000","PHMD120063940140084000092","2006-02-17","","03","폐업","03","폐업","2026-01-07","","","","031 975 0401","","","경기도 고양시 일산서구 일산2동637-27외1필지","경기도 고양시 일산서구 고양대로675번길 8 (일산동)","10342","열린큰사랑약국","2026-01-07 16:11:15","U","2026-01-09 02:40:00","","179773.085514343","464708.159538153","24.01","20060217",
"124","약국","01_01_06_P","3300000","PHMD120253300024084000001","2025-02-20","","01","영업/정상","13","영업중","","","","","0518668020","","","부산광역시 동래구 안락동 437-12","부산광역시 동래구 충렬대로 385, 1층 (안락동)","47797","겸애약국","2026-01-07 15:45:43","U","2026-01-09 02:40:00","","391251.204890444","190704.959397672","50","20250220",
"125","약국","01_01_06_P","3120000","PHMD120173120033084000017","2017-09-28","","01","영업/정상","13","영업중","","","","","02-336-3667","","","서울특별시 서대문구 창천동 72번지 12호","서울특별시 서대문구 신촌로 73, 1층 (창천동, 거화빌딩)","03789","행복가득약국","2026-01-07 10:21:43","U","2026-01-09 02:40:00","","194170.408172645","450453.360532061","15.22","20170928",
"126","약국","01_01_06_P","3060000","PHMD120173060034084000002","2017-01-02","","01","영업/정상","13","영업중","","","","","02-432-6641","","","서울특별시 중랑구 면목동 473번지 16호","서울특별시 중랑구 사가정로 395 (면목동)","02214","드림약국","2026-01-07 10:09:38","U","2026-01-09 02:40:00","","207761.604066557","453177.187155618","36","20170102",
"127","약국","01_01_06_P","3120000","PHMD119933120033084000001","1993-04-03","","01","영업/정상","13","영업중","","","","","02-335-2313","","","서울특별시 서대문구 연희동 702-13 1층 103호","서울특별시 서대문구 증가로 84, 1층 103호 (연희동)","03695","명신당약국","2026-01-07 10:36:37","U","2026-01-09 02:40:00","","193489.683567114","452522.453101847","38.8","19930403",
"128","약국","01_01_06_P","3120000","PHMD120083120033084000012","2008-11-05","","01","영업/정상","13","영업중","","","","","02-312-5103","","120-160","서울특별시 서대문구 대신동 16번지 21호","서울특별시 서대문구 성산로 486 (대신동)","03765","위드팜신촌약국","2026-01-07 10:40:54","U","2026-01-09 02:40:00","","194739.549647853","450940.52900625","171.74","20081105",
"129","약국","01_01_06_P","3740000","PHMD120253740033084000001","2025-01-24","","01","영업/정상","13","영업중","","","","","031-239-7774","","","경기도 수원시 팔달구 인계동 1033","경기도 수원시 팔달구 인계로108번길 31, 107,108,109호 (인계동)","16489","인계백화점약국","2026-01-06 16:17:42","U","2026-01-09 02:40:00","","202512.374365321","418268.742363655","203.17","20250124",
"130","약국","01_01_06_P","3160000","PHMD120263160034084000001","2026-01-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 구로구 신도림동 400-3 엘림빌딩","서울특별시 구로구 신도림로 2, 엘림빌딩 1층 102호 (신도림동)","08212","상상약국","2026-01-08 15:50:48","I","2026-01-10 00:20:07","","189078.445478987","444826.551842007","24.36","20260108",
"131","약국","01_01_06_P","5530000","PHMD120265530507084000001","2026-01-07","","01","영업/정상","13","영업중","","","","","031-235-6119","","","","경기도 화성시 효행로 1337-23 (반월동, e편한세상 반월 나노시티역)","18383","아이온누리약국","2026-01-08 17:17:08","I","2026-01-10 00:20:07","","205354.311885065","413724.701543383","39.6","20260107",
"132","약국","01_01_06_P","4181000","PHMD120264181030084000001","2026-01-08","","01","영업/정상","13","영업중","","","","","033-257-5789","","","강원특별자치도 춘천시 동면 만천리 632-17","강원특별자치도 춘천시 동면 춘천순환로 446","24213","춘천메디타운약국","2026-01-08 16:28:14","I","2026-01-10 00:20:07","","267464.440597458","486807.752370905","636","20260108",
"133","약국","01_01_06_P","3010000","PHMD120263010033084000001","2026-01-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 충무로1가 22-9","서울특별시 중구 명동8나길 28-1, 1층 (충무로1가)","04536","충무로 에이트약국","2026-01-08 13:47:09","I","2026-01-10 00:20:07","","198464.198552809","451016.190204612","44.04","20260107",
"134","약국","01_01_06_P","3000000","PHMD120263000034084000001","2026-01-07","","01","영업/정상","13","영업중","","","","","02-766-2055","","","서울특별시 종로구 종로4가 6-4","서울특별시 종로구 종로 197, 1층 (종로4가)","03130","종로더서울약국","2026-01-07 09:36:43","I","2026-01-10 00:20:07","","199890.81381782","452093.260628925","85.45","20260107",
"135","약국","01_01_06_P","4191000","PHMD120254191050084000003","2025-12-18","","01","영업/정상","13","영업중","","","","","033-763-3434","","","강원특별자치도 원주시 태장동 1379-23 북원상가","강원특별자치도 원주시 북원상가길 13, 북원상가 1층 34호 (태장동)","26316","북원우리약국","2026-01-08 14:22:28","I","2026-01-10 00:20:07","","283960.641282355","431787.035435458","30","20251218",
"136","약국","01_01_06_P","4191000","PHMD120264191050084000001","2026-01-06","","01","영업/정상","13","영업중","","","","","033-762-2783","","","강원특별자치도 원주시 단구동 1713-1","강원특별자치도 원주시 오성마을길 57-22, 103호 (단구동)","26400","나나약국","2026-01-08 14:21:18","I","2026-01-10 00:20:07","","283999.416107608","424451.153333608","51.86","20260106",
"137","약국","01_01_06_P","4040000","PHMD120264040023084000001","2026-01-02","","01","영업/정상","13","영업중","","","","","031-8027-6632","","","경기도 하남시 신장동 519-2 코아빌딩","경기도 하남시 대청로 13, 코아빌딩 2층 일부호 (신장동)","12950","다나을약국","2026-01-08 15:36:47","I","2026-01-10 00:20:07","","218811.767633904","448688.614106745","33.06","20260102",
"138","약국","01_01_06_P","3000000","PHMD120133000034084000014","2013-10-29","","01","영업/정상","13","영업중","","","","","02-730-0737","","","서울특별시 종로구 평동 233 경희궁자이 3단지","서울특별시 종로구 경교장길 35, 3137호 (평동, 경희궁자이 3단지)","03180","신서대문대학약국","2026-01-06 13:40:00","U","2026-01-10 02:40:00","","196931.854196185","451813.489945391","47.3","20131029",
"139","약국","01_01_06_P","3830000","PHMD120233830263084000005","2023-06-29","","01","영업/정상","13","영업중","","","","","031-426-8304","","","경기도 안양시 동안구 관양동 1488-39 인덕원 메트로빌","경기도 안양시 동안구 관악대로 488, 인덕원 메트로빌 308호 (관양동)","13951","한양약국","2026-01-08 10:46:22","U","2026-01-10 02:40:00","","197769.870672596","433321.894200761","57.5","20230629",
"140","약국","01_01_06_P","4590000","PHMD120104590042084000002","2010-05-13","","01","영업/정상","13","영업중","","","","","041-942-7582","","","충청남도 청양군 청양읍 읍내리 234-12","충청남도 청양군 청양읍 칠갑산로7길 51","33327","정성약국","2026-01-07 09:00:25","U","2026-01-10 02:40:00","","182365.373974177","328252.891644338","86.82","20100513",
"141","약국","01_01_06_P","3160000","PHMD120193160034084000011","2019-05-24","","01","영업/정상","13","영업중","","","","","0226157570","","","","서울특별시 구로구 오류로8길 16, 세명프라자 201호 (오류동)","08343","세명약국","2026-01-08 11:24:22","U","2026-01-10 02:40:00","","185924.416468235","443212.428774109","29.5","20190524",
"142","약국","01_01_06_P","5530000","PHMD120245530506084000008","2024-10-14","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 오산동 1089 동탄역 롯데캐슬","경기도 화성시 동탄역로 160, 동탄역 롯데백화점 동탄점 지하1층 (오산동)","18478","동탄바라기한약국","2026-01-08 15:07:05","U","2026-01-10 02:40:00","","208569.642431686","410949.263462028","42.98","20241014",
"143","약국","01_01_06_P","3610000","PHMD120103610019084000007","2010-08-31","","03","폐업","03","폐업","2026-01-07","","","","681-8989","","","","광주광역시 남구 서문대로701번길 2, 1층 103-2호 (진월동)","61725","하누리약국","2026-01-07 11:08:03","U","2026-01-10 02:40:00","","190635.477936701","180345.157511934","33","20100831",
"144","약국","01_01_06_P","4900000","PHMD120044900013084000001","2004-06-10","","01","영업/정상","13","영업중","","","","","061-375-3676","","","전라남도 화순군 화순읍 일심리 410번지","전라남도 화순군 화순읍 중앙로 171","58115","전남약국","2026-01-08 09:06:57","U","2026-01-10 02:40:00","","199939.962989016","173510.620581716","100","20040610",
"145","약국","01_01_06_P","5530000","PHMD120215530440084000014","2021-12-28","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 영천동 99-6","경기도 화성시 동탄대로 683, SH스퀘어2 116-1호 (영천동)","18468","동약국","2026-01-08 15:11:31","U","2026-01-10 02:40:00","","208852.766485422","412511.171850892","19.11","20211228",
"146","약국","01_01_06_P","3370000","PHMD120163370022084000012","2016-12-29","","01","영업/정상","13","영업중","","","","","051-868-5523","","","부산광역시 연제구 연산동 787번지 20호","부산광역시 연제구 월드컵대로 17 (연산동)","47603","연산시장약국","2026-01-08 10:08:13","U","2026-01-10 02:40:00","","389932.051183065","188322.049422077","65.75","20161229",
"147","약국","01_01_06_P","3340000","PHMD120013340025084000005","2001-05-04","","01","영업/정상","13","영업중","","","","","051-203-0633","","","부산광역시 사하구 괴정동 998-1","부산광역시 사하구 낙동대로 214(괴정동)","49338","팜약국","2026-01-08 15:08:07","U","2026-01-10 02:40:00","","381696.602043958","179746.820941897","60","20010504",
"148","약국","01_01_06_P","3940000","PHMD120203940139084000002","2020-04-10","","01","영업/정상","13","영업중","","","","","031-904-4123","","","경기도 고양시 일산동구 장항동 891번지 일산법조빌딩","경기도 고양시 일산동구 장백로 212, 일산법조빌딩 1층 일부호 (장항동)","10414","휴베이스명인약국","2026-01-08 18:13:22","U","2026-01-10 02:40:00","","180145.933942359","461268.126485876","162.9","20200410",
"149","약국","01_01_06_P","3740000","PHMD120213740031084000003","2021-12-09","","01","영업/정상","13","영업중","","","","","031-269-9067","","","경기도 수원시 장안구 정자동 950 화서역 파크푸르지오","경기도 수원시 장안구 대평로 27, 201동 214호 (정자동, 화서역 파크푸르지오)","16318","라온약국","2026-01-08 15:50:01","U","2026-01-10 02:40:00","","199460.301398641","420871.789200422","71.07","20211209",
"150","약국","01_01_06_P","5530000","PHMD120255530506084000009","2025-11-11","","01","영업/정상","13","영업중","","","","","031-373-6539","","","경기도 화성시 송동 725-1 더샵 동탄센텀폴리스 2단지","경기도 화성시 동탄대로5길 9, 더샵 동탄센텀폴리스 2단지 1012호 외 7개호 (송동)","18497","동탄메가온누리약국","2026-01-07 15:04:52","U","2026-01-10 02:40:00","","209361.779396358","407341.074013984","273.76","20251111",
"151","약국","01_01_06_P","4181000","PHMD120254181030084000004","2025-12-24","","01","영업/정상","13","영업중","","","","","033-818-0500","","","강원특별자치도 춘천시 동내면 학곡리 396","강원특별자치도 춘천시 동내면 영서로 1832, 1층 101-2호","24408","학곡온누리약국","2026-01-06 09:24:04","U","2026-01-10 02:40:00","","266788.139311053","482241.886625609","26","20251224",
