"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"72","당구장업","10_32_01_P","4830000","CDFH3301082005000002","2005-08-01","","03","폐업","03","폐업","2026-01-06","","","","","","520-230","전라남도 나주시 삼영동 335-1 부영상가 2동 201호","전라남도 나주시 삼영1길 61-2 (삼영동, 부영상가)","520-230","부영당구클럽","2026-01-06 16:27:13","U","2026-01-09 02:40:00","","172748.675864111","167105.126064562","당구장업","사립","","0","0","0","0","","",
"73","당구장업","10_32_01_P","4830000","CDFH3301082014000003","2014-12-09","","03","폐업","03","폐업","2026-01-06","","","","335-8266","","520-350","전라남도 나주시 빛가람동 208-6","전라남도 나주시 빛가람로 1, 745동 (빛가람동)","520-350","한빛당구클럽","2026-01-06 16:04:37","U","2026-01-09 02:40:00","","181060.624355078","169196.301322087","당구장업","사립","","0","0","0","0","","",
"74","당구장업","10_32_01_P","4830000","CDFH3301081996000004","1996-11-08","","03","폐업","03","폐업","2026-01-06","","","","061-332-9050","","520-180","전라남도 나주시 대호동 307-5 호반상가 202호","전라남도 나주시 건재로 209 (대호동,호반상가 202호)","","신신당구클럽","2026-01-06 16:09:18","U","2026-01-09 02:40:00","","174660.46955959","172539.208305144","당구장업","사립","","0","0","198.36","0","","",
"75","당구장업","10_32_01_P","4830000","CDFH3301081996000005","1996-11-08","","03","폐업","03","폐업","2026-01-06","","","","061-332-7326","","520-180","전라남도 나주시 대호동 309-5","","","빅박스당구장","2026-01-06 16:24:54","U","2026-01-09 02:40:00","","174523.713103454","172555.049302455","당구장업","사립","","0","0","155.37","0","","",
"76","당구장업","10_32_01_P","4830000","CDFH3301082009000002","2009-03-05","","03","폐업","03","폐업","2026-01-06","","","","061-333-0925","","520-844","전라남도 나주시 남평읍 남평리 86","","","뽀록빌리어드","2026-01-06 16:42:59","U","2026-01-09 02:40:00","","185391.296929338","171980.788170669","당구장업","사립","","0","1","1082.84","0","","",
"77","당구장업","10_32_01_P","4830000","CDFH3301082005000001","2005-02-25","","03","폐업","03","폐업","2026-01-06","","","","","","520-180","전라남도 나주시 대호동 382-5","전라남도 나주시 노안삼도로 48 (대호동)","","미란다당구장","2026-01-06 16:17:24","U","2026-01-09 02:40:00","","174454.053556784","172886.305714006","당구장업","사립","","0","0","0","0","","",
"78","당구장업","10_32_01_P","4830000","CDFH3301081995000001","1995-01-24","","03","폐업","03","폐업","2026-01-06","","","","061-33-3674","","520-010","전라남도 나주시 중앙동 4-1","전라남도 나주시 나주로 199 (중앙동)","","천지당구장","2026-01-06 16:14:08","U","2026-01-09 02:40:00","","174505.150342906","170635.855782874","당구장업","사립","","0","0","142.15","0","","",
"79","당구장업","10_32_01_P","4830000","CDFH3301082000000001","2000-08-02","","03","폐업","03","폐업","2026-01-06","","","","061-331-6592","","520-824","전라남도 나주시 금천면 오강리 246-5","전라남도 나주시 금천면 금영로 947","","제일당구장","2026-01-06 17:01:09","U","2026-01-09 02:40:00","","177448.542025769","170369.712446712","당구장업","사립","","0","0","94","0","","",
"80","당구장업","10_32_01_P","4830000","CDFH3301082000000002","2000-09-14","","03","폐업","03","폐업","2026-01-06","","","","061-332-7800","","520-110","전라남도 나주시 금성동 31-3","전라남도 나주시 나주로 113 (금성동)","","천당구장","2026-01-06 16:10:53","U","2026-01-09 02:40:00","","174147.946552458","170033.149717533","당구장업","사립","","0","0","193.39","0","","",
"81","당구장업","10_32_01_P","4830000","CDFH3301082000000003","2000-03-15","","03","폐업","03","폐업","2026-01-06","","","","061-332-6554","","520-952","전라남도 나주시 이창동 157-4","전라남도 나주시 이창1길 1 (이창동)","","로얄당구장","2026-01-06 16:30:55","U","2026-01-09 02:40:00","","173817.29988653","166339.241249755","당구장업","사립","","0","0","182.25","0","","",
"82","당구장업","10_32_01_P","4830000","CDFH3301081997000003","1997-05-17","","03","폐업","03","폐업","2026-01-06","","","","061-333-5537","","520-180","전라남도 나주시 대호동 289-2","","","금성당구장","2026-01-06 16:25:29","U","2026-01-09 02:40:00","","174502.05131802","172769.766341911","당구장업","사립","","0","0","136.08","0","","",
"83","당구장업","10_32_01_P","4830000","CDFH3301081995000004","1995-07-22","","03","폐업","03","폐업","2026-01-06","","","","061-334-3633","","520-130","전라남도 나주시 송월동 1098-10","전라남도 나주시 내동길 10-6 (송월동)","","성일당구장","2026-01-06 17:07:41","U","2026-01-09 02:40:00","","173711.526781882","168432.991946812","당구장업","사립","","0","0","139.89","0","","",
"84","당구장업","10_32_01_P","4830000","CDFH3301081995000005","1995-12-06","","03","폐업","03","폐업","2026-01-06","","","","","","520-050","전라남도 나주시 성북동 225-2","","","엘지당구장","2026-01-06 16:24:25","U","2026-01-09 02:40:00","","174180.244162075","170455.099781237","당구장업","사립","","0","0","170.2","0","","",
"85","당구장업","10_32_01_P","4830000","CDFH3301082006000003","2006-11-07","","03","폐업","03","폐업","2026-01-06","","","","336-7005","","520-952","전라남도 나주시 이창동 506-4","전라남도 나주시 이창1길 38 (이창동)","","새로나당구장","2026-01-06 16:32:05","U","2026-01-09 02:40:00","","173504.531203689","166464.869976339","당구장업","사립","","0","0","0","0","","",
"86","당구장업","10_32_01_P","4830000","CDFH3301082009000005","2009-05-29","","03","폐업","03","폐업","2026-01-06","","","","","","520-180","전라남도 나주시 대호동 309-5","","","동신당구클럽","2026-01-06 16:26:05","U","2026-01-09 02:40:00","","174523.713103454","172555.049302455","당구장업","사립","","0","1","492.78","0","","",
"87","당구장업","10_32_01_P","4830000","CDFH3301082017000001","2017-01-31","","03","폐업","03","폐업","2026-01-06","","","","","","","전라남도 나주시 빛가람동 196-5","전라남도 나주시 상야1길 21, B동 3층 302호 (빛가람동, 킹덤프라자)","58217","JJ 당구클럽","2026-01-06 16:06:09","U","2026-01-09 02:40:00","","180527.043994998","169329.442224069","당구장업","사립","","0","0","166.32","0","","",
"88","당구장업","10_32_01_P","4830000","CDFH3301082017000004","2017-06-07","","03","폐업","03","폐업","2026-01-06","","","","","","","","전라남도 나주시 금천면 금영로 957 (별마트)","58215","한결 당구장","2026-01-06 17:06:21","U","2026-01-09 02:40:00","","177437.821866456","170461.093267842","당구장업","사립","","0","0","165","0","","",
"89","당구장업","10_32_01_P","4830000","CDFH3301081997000005","1997-06-30","","03","폐업","03","폐업","2026-01-06","","","","061-333-3832","","520-873","전라남도 나주시 세지면 오봉리 246-22","전라남도 나주시 세지면 동창로 135-4","","세지당구장","2026-01-06 16:39:11","U","2026-01-09 02:40:00","","176876.121082601","157980.289054462","당구장업","사립","","0","0","135","0","","",
"90","당구장업","10_32_01_P","4830000","CDFH3301081996000006","1996-12-13","","03","폐업","03","폐업","2026-01-06","","","","061-334-2660","","520-110","전라남도 나주시 금성동 18-1","전라남도 나주시 나주로 141 (금성동)","","까치당구장","2026-01-06 16:11:26","U","2026-01-09 02:40:00","","174087.660021173","170289.793835823","당구장업","사립","","0","0","160.38","0","","",
"91","당구장업","10_32_01_P","4830000","CDFH3301081996000007","1996-12-27","","03","폐업","03","폐업","2026-01-06","","","","061-332-7126","","520-010","전라남도 나주시 중앙동 64-8","전라남도 나주시 나주로 160 (중앙동)","","송화당구장","2026-01-06 16:13:04","U","2026-01-09 02:40:00","","174239.466997096","170392.818459151","당구장업","사립","","0","0","383.54","0","","",
"92","당구장업","10_32_01_P","4830000","CDFH3301081998000005","1998-04-02","","03","폐업","03","폐업","2026-01-06","","","","061-332-2995","","520-180","전라남도 나주시 대호동 316","전라남도 나주시 건재로 205 (대호동)","","우성당구장","2026-01-06 16:08:51","U","2026-01-09 02:40:00","","174627.915740504","172483.169018615","당구장업","사립","","0","0","328.26","0","","",
"93","당구장업","10_32_01_P","4830000","CDFH3301082008000004","2008-04-16","","03","폐업","03","폐업","2026-01-06","","","","","","520-010","전라남도 나주시 중앙동 9-1","전라남도 나주시 나주로 183-7 (중앙동)","","중앙당구장","2026-01-06 16:13:37","U","2026-01-09 02:40:00","","174408.839424469","170597.839124788","당구장업","사립","","0","0","0","0","","",
"94","당구장업","10_32_01_P","4830000","CDFH3301082009000001","2009-02-11","","03","폐업","03","폐업","2026-01-06","","","","","","520-952","전라남도 나주시 이창동 175-1","전라남도 나주시 금영로 5 (이창동)","","스타당구장","2026-01-06 16:28:10","U","2026-01-09 02:40:00","","173874.920187584","166285.058151999","당구장업","사립","","0","0","505.63","0","","",
"95","당구장업","10_32_01_P","4830000","CDFH3301082020000001","2020-02-13","","03","폐업","03","폐업","2026-01-06","","","","","","","전라남도 나주시 빛가람동 203-3 414호","전라남도 나주시 상야4길 16-16, 414호 (빛가람동)","58217","매니아 당구클럽","2026-01-06 16:06:39","U","2026-01-09 02:40:00","","181036.536231515","169457.841399785","당구장업","사립","","0","1","0","0","","",
"96","당구장업","10_32_01_P","4530000","CDFH3301082025000005","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","충청남도 서산시 동문동 208-10 2층","충청남도 서산시 율지11로 10, 2층 (동문동)","31992","서산PBA 당구클럽","2026-01-06 10:17:17","U","2026-01-09 02:40:00","","151794.795688782","364505.300288876","당구장업","사립","","0","0","1599.45","0","","",
"97","당구장업","10_32_01_P","5060000","CDFH3301082024000001","2024-05-27","","01","영업/정상","13","영업중","","","","","","","","경상북도 김천시 교동 804","경상북도 김천시 대학로 122 (교동)","39522","진성당구장","2026-01-07 15:10:58","U","2026-01-09 02:40:00","","298160.738679418","293487.917830996","당구장업","사립","","0","0","351.58","0","","",
"98","당구장업","10_32_01_P","3340000","CDFH3301082021000004","2021-12-02","","03","폐업","03","폐업","2026-01-06","","","","0512068500","","","부산광역시 사하구 하단동 870-286","부산광역시 사하구 낙동남로1353번길 30, 3층 (하단동)","49306","놀당구장","2026-01-06 11:17:39","U","2026-01-09 02:40:00","","378619.456167258","180510.136313414","당구장업","사립","","0","0","0","0","","",
"99","당구장업","10_32_01_P","3910000","CDFH3301082025000006","2025-12-23","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 안중읍 학현리 41-35","경기도 평택시 안중읍 덕우로 72","17816","노들 무인카페앤당구","2026-01-06 15:50:28","U","2026-01-09 02:40:00","","193578.437254698","388421.016059505","당구장업","사립","","0","0","0","0","","",
"100","당구장업","10_32_01_P","5590000","CDFH3301082022000006","2022-11-11","","04","취소/말소/만료/정지/중지","35","직권말소","2025-10-30","","","","","","","경기도 양주시 옥정동 1077","경기도 양주시 옥정동로3길 34-6, 204,205호 (옥정동)","11476","R6당구클럽","2026-01-07 10:39:12","U","2026-01-09 02:40:00","","208433.739586552","479229.469247285","당구장업","사립","","0","0","177.3","0","","",
"101","당구장업","10_32_01_P","3310000","CDFH3301081996000015","1996-08-09","","03","폐업","03","폐업","2026-01-06","","","","051-633-9571","","608-801","부산광역시 남구 감만동 162-31 4층","부산광역시 남구 홍곡로 18, 4층 (감만동)","48551","뉴욕당구장","2026-01-06 15:31:16","U","2026-01-09 02:40:00","","389771.810126278","181639.474152132","당구장업","사립","","0","1","1032.91","0","","",
"102","당구장업","10_32_01_P","3830000","CDFH3301082003000009","2003-04-16","","01","영업/정상","13","영업중","","","","","031-383-3949","","","경기도 안양시 동안구 평촌동 922-10 갈산프라자빌딩","경기도 안양시 동안구 평촌대로 110, 갈산프라자빌딩 301호 (평촌동)","14103","다빈치 당구클럽","2026-01-06 18:51:57","U","2026-01-09 02:40:00","","196502.7608629","431142.156153899","당구장업","사립","","0","0","0","0","","",
"103","당구장업","10_32_01_P","3820000","CDFH3301082010000014","2010-07-13","","03","폐업","03","폐업","2026-01-07","","","","","","","경기도 의정부시 가능동 669-23 2층","경기도 의정부시 의정로 166, 2층 (가능동)","11681","여의도당구장","2026-01-07 16:48:07","U","2026-01-09 02:40:00","","202985.185065067","471687.874899224","당구장업","사립","","0","0","0","0","","",
"104","당구장업","10_32_01_P","4671000","CDFH3301082025000002","2025-03-26","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 군산시 미룡동 416-4","전북특별자치도 군산시 미제1길 7, 3층 (미룡동)","54151","땡큐당구클럽","2026-01-06 08:58:58","U","2026-01-09 02:40:00","","171589.498871783","271972.920429086","당구장업","사립","","0","0","1474.66","0","","",
"105","당구장업","10_32_01_P","3320000","CDFH3301082008000004","2008-03-31","","01","영업/정상","13","영업중","","","","","","","616-801","부산광역시 북구 구포동 1060-84 3층","부산광역시 북구 구포만세길 89, 3층 (구포동)","46501","발리당구클럽","2026-01-06 11:41:45","U","2026-01-09 02:40:00","","381797.575515311","191461.294088309","당구장업","사립","","0","1","659.88","0","","",
"106","당구장업","10_32_01_P","4830000","CDFH3301082018000003","2018-12-19","","03","폐업","03","폐업","2026-01-06","","","","","","","전라남도 나주시 남평읍 남평리 214-20","전라남도 나주시 남평읍 산남로 231","58227","탑클레스당구장","2026-01-06 16:59:04","U","2026-01-09 02:40:00","","185114.291560981","172030.411209381","당구장업","사립","","0","0","0","0","","",
"107","당구장업","10_32_01_P","5130000","CDFH3301082016000005","2016-06-13","","01","영업/정상","13","영업중","","","","","","","","경상북도 경산시 진량읍 내리리 66-10 1층","경상북도 경산시 진량읍 대구대로 282, 1층","38454","키스당구장","2026-01-08 09:34:59","U","2026-01-10 02:40:00","","367116.627081378","267693.258441446","당구장업","사립","","0","0","908.55","0","","",
"108","당구장업","10_32_01_P","5190000","CDFH3301082017000001","2017-03-08","","04","취소/말소/만료/정지/중지","35","직권말소","2026-01-06","","","","054-372-2801","","","경상북도 청도군 운문면 대천리 1444-12","경상북도 청도군 운문면 청려로 4710","38367","대천당구장","2026-01-08 17:09:06","U","2026-01-10 02:40:00","","373135.515141403","247828.857862239","당구장업","사립","","0","0","390.04","0","","",
"109","당구장업","10_32_01_P","3510500","CDFH3301082009000010","2009-04-07","","01","영업/정상","13","영업중","","","","","","","","인천광역시 미추홀구 주안동 1565 2층","인천광역시 미추홀구 경원대로 752, 2층 (주안동)","22239","코빌당구장","2026-01-08 13:05:20","U","2026-01-10 02:40:00","","172520.136251684","438654.178734971","당구장업","사립","","0","0","0","0","","",
"110","당구장업","10_32_01_P","4090000","CDFH3301082014000007","2014-09-18","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 운양동 1296-9 에이스프라자","경기도 김포시 김포한강11로 288-31, 에이스프라자 606~608호 (운양동)","10073","에이스당구클럽","2026-01-08 09:09:02","U","2026-01-10 02:40:00","","172052.968340156","461430.960117395","당구장업","사립","","","1","12164.38","","","",
"111","당구장업","10_32_01_P","3990000","CDFH3301082021000007","2021-11-19","","03","폐업","03","폐업","2026-01-08","","","","","","","경기도 남양주시 진건읍 진관리 375-3","경기도 남양주시 진건읍 진관로355번길 4, 1층","12139","E.F.C","2026-01-08 17:25:50","U","2026-01-10 02:40:00","","214440.629615774","460053.026989406","당구장업","사립","","0","0","0","0","","",
"112","당구장업","10_32_01_P","3340000","CDFH3301082023000001","2023-03-02","","01","영업/정상","13","영업중","","","","","","","","부산광역시 사하구 괴정동 263-1 스마트W2차","부산광역시 사하구 낙동대로 182, 3층 (괴정동, 스마트W2차)","49338","H 빌리어드","2026-01-08 16:10:22","U","2026-01-10 02:40:00","","381928.168296884","179899.703759889","당구장업","사립","","0","0","0","0","","",
"113","당구장업","10_32_01_P","3340000","CDFH3301082015000001","2015-06-23","","01","영업/정상","13","영업중","","","","","","","","부산광역시 사하구 하단동 1168 강변빌딩","부산광역시 사하구 하신번영로 256, 강변빌딩 3층 (하단동)","49428","하이런 당구클럽","2026-01-08 16:08:49","U","2026-01-10 02:40:00","","378513.124738198","180065.360410695","당구장업","사립","","0","0","1987.93","0","","",
"114","당구장업","10_32_01_P","4681000","CDFH3301082016000005","2016-06-01","","01","영업/정상","13","영업중","","","","","","","","","전북특별자치도 익산시 여산면 여강로 83","54520","숲정이당구장","2026-01-08 15:48:16","U","2026-01-10 02:40:00","","206869.117767149","284554.286528882","당구장업","사립","","0","0","0","0","","",
"115","당구장업","10_32_01_P","3860000","CDFH3301082016000014","2016-06-10","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 소사구 괴안동 113-6","경기도 부천시 소사구 경인로 509, 501호 (괴안동, 우남타워)","14676","SM당구장","2026-01-08 12:56:11","U","2026-01-10 02:40:00","","183273.67","442505.48","당구장업","사립","","0","0","0","0","","",
"116","당구장업","10_32_01_P","3860000","CDFH3301082021000007","2021-10-07","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 오정구 내동 200","경기도 부천시 오정구 수도로 137, 2층 (내동)","14490","H.당구클럽","2026-01-08 14:26:28","U","2026-01-10 02:40:00","","180535.936711726","446143.981156382","당구장업","사립","","0","0","0","0","","",
"117","당구장업","10_32_01_P","4490000","CDFH3301082025000002","2025-01-31","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 성정동 1382","충청남도 천안시 서북구 성정공원6길 51, 2층 215~219,221~225호 (성정동)","31110","천안BBC당구클럽","2026-01-08 13:32:41","U","2026-01-10 02:40:00","","212752.221216644","369709.408445901","당구장업","사립","","0","0","0","0","","",
"118","당구장업","10_32_01_P","3740000","CDFH3301082026000002","2026-01-09","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 팔달구 매교동 122-25","경기도 수원시 팔달구 매산로116번길 67, 2층 (매교동)","16465","유미네당구장","2026-01-09 16:50:13","I","2026-01-11 00:20:02","","201268.435722976","418511.545459719","당구장업","사립","","0","0","0","0","","",
"119","당구장업","10_32_01_P","3270000","CDFH3301082026000001","2026-01-09","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 수정동 214-7","부산광역시 동구 진성로 12, 3층층 (수정동)","48775","동남당구장","2026-01-09 17:38:01","I","2026-01-11 00:20:02","","386637.531768591","183120.758012531","당구장업","사립","","0","0","0","0","","",
"120","당구장업","10_32_01_P","3930000","CDFH3301082025000008","2025-10-29","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 상록구 본오동 873-10 해동빌딩","경기도 안산시 상록구 본삼로 41, 해동빌딩 301~303호 (본오동)","15537","퍼스트 당구장","2026-01-09 10:09:17","D","2026-01-11 02:30:00","","187935.467260334","422133.124850977","당구장업","사립","","0","0","0","0","","",
"121","당구장업","10_32_01_P","3410000","CDFH3301082009000002","2009-02-16","","03","폐업","03","폐업","2026-01-08","","","","053-525-9911","","700-411","대구광역시 중구 삼덕동1가 28-29 4층","대구광역시 중구 동성로3길 36, 4층 (삼덕동1가)","41942","준당구장","2026-01-09 08:49:00","U","2026-01-11 02:40:00","","344251.516874211","264151.648667491","당구장업","사립","","0","0","1837.43","0","","",
"122","당구장업","10_32_01_P","3420000","CDFH3301082019000007","2019-12-10","","01","영업/정상","13","영업중","","","","","053-744-9588","","","대구광역시 동구 신천동 139-3 동성빌딩","대구광역시 동구 동대구로 421, 동성빌딩 2층 (신천동)","41261","J's 당구클럽","2026-01-09 10:27:38","U","2026-01-11 02:40:00","","346792.030058558","264305.954318172","당구장업","사립","","0","0","0","0","","",
"123","당구장업","10_32_01_P","3930000","CDFH3301082008000015","2008-03-31","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 상록구 본오동 873-10 해동빌딩 301,302,303호","경기도 안산시 상록구 본삼로 41, 301~303호 (본오동, 해동빌딩)","15537","퍼스트 당구장","2026-01-09 10:08:20","U","2026-01-11 02:40:00","","187935.467260334","422133.124850977","당구장업","사립","","0","0","0","0","","",
"124","당구장업","10_32_01_P","5710000","CDFH3301082026000001","2026-01-07","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 흥덕구 봉명동 1728","충청북도 청주시 흥덕구 과상미로 29, 2층 (봉명동)","28452","에이스 당구장","2026-01-09 09:53:02","U","2026-01-11 02:40:00","","241217.693934088","349369.599049143","당구장업","사립","","0","0","465.76","0","","",
"125","당구장업","10_32_01_P","3010000","CDFH3301082018000003","2018-03-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 충무로4가 132-3 대한빌딩 3층","서울특별시 중구 퇴계로 209, 대한빌딩 3층 (충무로4가)","04557","대한당구장","2026-01-09 16:05:28","U","2026-01-11 02:40:00","","199495.153221359","451041.976434801","당구장업","사립","","","","","","","",
"126","당구장업","10_32_01_P","3450000","CDFH3301082025000001","2025-10-17","","01","영업/정상","13","영업중","","","","","","","","대구광역시 북구 동천동 908-7","대구광역시 북구 동천로 125-3, 4층 (동천동)","41423","필당구장","2026-01-09 09:44:38","U","2026-01-11 02:40:00","","340708.189001826","272508.540048707","당구장업","사립","","0","0","1727.89","0","","",
"127","당구장업","10_32_01_P","3150000","CDFH3301082025000003","2025-11-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 마곡동 760-1 힐스테이트에코마곡나루역라마다앙코르서울 지하1층 A-B102호","서울특별시 강서구 마곡중앙로 161-11, 힐스테이트에코마곡나루역라마다앙코르서울 지하1층 A-B102호 (마곡동)","07788","킹 당구장","2026-01-09 11:35:54","U","2026-01-11 02:40:00","","184622.97567944","451753.272697864","당구장업","사립","","0","0","41798.62","0","","",
"128","당구장업","10_32_01_P","5530000","CDFH3301082025000007","2025-12-11","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 반송동 88-11 씨티플러스 502호","경기도 화성시 동탄중심상가2길 7, 씨티플러스 502호 (반송동)","18453","큐플레이","2026-01-09 17:42:39","U","2026-01-11 02:40:00","","206404.819622968","411559.973477153","당구장업","사립","","0","0","0","0","","",
"129","당구장업","10_32_01_P","3270000","CDFH3301082024000001","2024-02-13","","03","폐업","03","폐업","2025-12-30","","","","","","","부산광역시 동구 수정동 214-7","부산광역시 동구 진성로 12, 3층 (수정동)","48775","동남당구장","2026-01-09 16:43:50","U","2026-01-11 02:40:00","","386637.531768591","183120.758012531","당구장업","사립","","0","0","0","0","","",
"130","당구장업","10_32_01_P","5710000","CDFH3301082025000007","2025-09-23","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 흥덕구 오송읍 봉산리 988","충청북도 청주시 흥덕구 오송읍 오송생명7로 146, 206호","28222","오늘도탁구&포켓볼 청주오송점","2026-01-09 09:51:57","U","2026-01-11 02:40:00","","228199.670391318","346621.111669169","당구장업","사립","","0","0","0","0","","",
"131","당구장업","10_32_01_P","4030000","CDFH3301082025000002","2025-09-17","","01","영업/정상","13","영업중","","","","","","","","경기도 의왕시 삼동 134-26","경기도 의왕시 부곡시장길 48, 3층 (삼동)","16094","JJ당구장","2026-01-09 16:40:31","U","2026-01-11 02:40:00","","195833.634598967","423998.536081564","당구장업","사립","","0","0","168.6","0","","",
"132","당구장업","10_32_01_P","3420000","CDFH3301082025000001","2025-05-19","","01","영업/정상","13","영업중","","","","","","","","대구광역시 동구 대림동 888-2","대구광역시 동구 메디밸리로 5-21, 501호, 502호 (대림동)","41072","당구쟁이","2026-01-09 10:30:29","U","2026-01-11 02:40:00","","357832.242269486","265217.179087326","당구장업","사립","","0","1","9840.15","0","","",
"133","당구장업","10_32_01_P","3740000","CDFH3301082025000002","2025-05-09","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 영통구 매탄동 1194-4","경기도 수원시 영통구 매봉로 51, 2층 (매탄동)","16525","양지당구장","2026-01-09 13:50:13","U","2026-01-11 02:40:00","","204642.143534131","418959.128360091","당구장업","사립","","0","0","0","0","","",
"134","당구장업","10_32_01_P","4030000","CDFH3301082025000001","2025-06-02","","01","영업/정상","13","영업중","","","","","","","","경기도 의왕시 내손동 669","경기도 의왕시 복지로 96, 지하층층 (내손동)","16028","내손당구장","2026-01-09 16:43:09","U","2026-01-11 02:40:00","","198254.637983949","431572.323942666","당구장업","사립","","0","0","0","0","","",
"135","당구장업","10_32_01_P","5530000","CDFH3301082025000004","2025-06-13","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 향남읍 하길리 1455-4 202호","경기도 화성시 향남읍 한절이2길 5-19, 2층 2호","18606","파워빌리어드","2026-01-09 17:41:00","U","2026-01-11 02:40:00","","192484.624328057","401763.080624109","당구장업","사립","","0","0","0","0","","",
"136","당구장업","10_32_01_P","5710000","CDFH3301082025000005","2025-06-13","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 서원구 모충동 244-2","충청북도 청주시 서원구 서원남로 41-1, 3층 (모충동)","28680","VIET-HAN 당구클럽","2026-01-09 14:58:40","U","2026-01-11 02:40:00","","243184.168208472","346882.938752507","당구장업","사립","","0","0","0","0","","",
"137","당구장업","10_32_01_P","3780000","CDFH3301082025000006","2025-04-28","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 수정구 태평동 3503","경기도 성남시 수정구 수정로 137-1, 4층 (태평동)","13305","스타플레이어 당구장","2026-01-09 09:03:12","U","2026-01-11 02:40:00","","211918.663840251","437796.168232562","당구장업","사립","","0","0","0","0","","",
"138","당구장업","10_32_01_P","4050000","CDFH3301082025000004","2025-04-10","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 처인구 백암면 백암리 368-1 2층","경기도 용인시 처인구 백암면 백암로 206, 2층","17178","백암당구클럽","2026-01-09 10:44:00","U","2026-01-11 02:40:00","","233234.086058398","407093.524995511","당구장업","사립","","0","0","800.94","0","","",
"139","당구장업","10_32_01_P","3940000","CDFH3301082015000025","2015-12-30","","01","영업/정상","13","영업중","","","","","031-917-4230","","","경기도 고양시 일산서구 탄현동 1563-6 나산프라자 5층호","경기도 고양시 일산서구 일현로 43, 5층 (탄현동, 나산프라자)","10343","탄현당구클럽","2026-01-10 18:04:14","U","2026-01-12 02:40:00","","178985.337767734","465448.973854465","당구장업","사립","","0","0","0","0","","",
"140","당구장업","10_32_01_P","4641000","CDFH3301082025000004","2025-12-12","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 덕진구 송천동2가 522-1 현대자동차","전북특별자치도 전주시 덕진구 송천중앙로 216, 2층 (송천동2가)","54829","형제당구장","2026-01-10 23:17:40","U","2026-01-12 02:40:00","","210945.568040645","262903.774588749","당구장업","사립","","0","0","0","0","","",
"141","당구장업","10_32_01_P","4620000","CDFH3301082026000001","2026-01-12","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 안면읍 창기리 1267-29","충청남도 태안군 안면읍 백사장2길 7","32162","강태공놀이터","2026-01-12 08:50:42","I","2026-01-14 00:20:02","","138829.520955721","342702.259458115","당구장업","사립","","0","0","0","0","","",
"142","당구장업","10_32_01_P","5710000","CDFH3301082026000002","2026-01-12","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 흥덕구 오송읍 만수리 539","충청북도 청주시 흥덕구 오송읍 오송생명로 208-8, 6층","28166","애플 당구 클럽","2026-01-12 08:51:09","I","2026-01-14 00:20:02","","229613.713625606","347688.009458601","당구장업","사립","","0","0","0","0","","",
"143","당구장업","10_32_01_P","5380000","CDFH3301081996000003","1996-11-12","","03","폐업","03","폐업","2024-05-01","","","","055-385-1024","","","경상남도 양산시 중부동 403-1","경상남도 양산시 서일동2길 56, 3층 (중부동)","50621","해성당구회관","2026-01-12 12:55:14","U","2026-01-14 02:40:00","","384972.083489629","206808.88337539","당구장업","사립","","0","1","1303","0","","",
"144","당구장업","10_32_01_P","3540000","CDFH3301081993000025","1993-01-08","","01","영업/정상","13","영업중","","","","","516-9665","","","인천광역시 부평구 부평동 890-9","인천광역시 부평구 길주남로 37 (부평동)","21355","쇼부당구장","2026-01-12 10:36:45","U","2026-01-14 02:40:00","","175697.834649107","444758.005262801","당구장업","사립","","0","0","0","0","","",
