"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","욕실수","발한실여부","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"58","목욕장업","11_44_01_P","5250000","5250000-202-1986-00001","1986-04-01","","01","영업/정상","01","영업","","","","","054 7873044","1510.00","767-841","경상북도 울진군 온정면 온정리 968-1","경상북도 울진군 온정면 온천로 46","36359","백암온천탕","2026-01-09 12:00:15","U","2026-01-11 02:40:00","공동탕업","408948.527209986","360223.822402378","공동탕업","7","","1","2","","","2","Y","","","","자가","","","N",
"59","목욕장업","11_44_01_P","3150000","3150000-202-2014-00001","2014-01-14","","01","영업/정상","01","영업","","","","","02  26385555","392.49","157-200","서울특별시 강서구 가양동 1498 a213-2, a213-3","서울특별시 강서구 양천로 401 (가양동, a213-2, a 213-3)","07528","스포짐 가양점내 사우나","2026-01-09 16:16:05","U","2026-01-11 02:40:00","공동탕업","186501.233192961","451485.251875922","공동탕업","0","0","","","","","0","N","","","","","","","N",
"60","목욕장업","11_44_01_P","6510000","6510000-202-2023-00002","2023-11-20","","01","영업/정상","01","영업","","","","","0647450011","177.90","690-162","제주특별자치도 제주시 오라이동 1699","제주특별자치도 제주시 연사6길 64, 2층 (오라이동)","63145","에스비지사우나남","2026-01-09 10:51:43","U","2026-01-11 02:40:00","공동탕업+찜질시설서비스영업","154233.545727114","-1494.49229603562","공동탕업+찜질시설서비스영업","0","0","2","2","0","0","1","Y","","","","","0","0","N",
"61","목욕장업","11_44_01_P","4970000","4970000-202-2026-00001","2026-01-12","","01","영업/정상","01","영업","","","","","","902.26","513-884","전라남도 영광군 홍농읍 상하리 567-17","전라남도 영광군 홍농읍 홍농로 398, 2층","57007","라온데이 사우나","2026-01-12 10:34:24","I","2026-01-14 00:20:02","목욕장업 기타","149234.57839052","210338.728034444","목욕장업 기타","0","0","2","2","0","0","2","N","","","","임대","0","0","N",
"62","목욕장업","11_44_01_P","5310000","5310000-202-1998-00009","1998-01-23","","03","폐업","02","폐업","2026-01-12","","","","","674.22","660-985","경상남도 진주시 초전동 803-5","경상남도 진주시 대신로457번길 12-3 (초전동)","52738","우리사우나헬스","2026-01-12 17:34:04","U","2026-01-14 02:40:00","공동탕업","301421.003336812","189735.855594348","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"63","목욕장업","11_44_01_P","3650000","3650000-202-2019-00001","2019-06-11","","01","영업/정상","01","영업","","","","","050714480955","2031.00","301-835","대전광역시 중구 유천동 322-1 현암에버드림아파트 지하1층","대전광역시 중구 태평로44번길 27, 지하1층 (유천동, 현암에버드림아파트)","34887","대성사우나","2026-01-12 11:10:13","U","2026-01-14 02:40:00","공동탕업+찜질시설서비스영업","235333.477745599","313461.387438481","공동탕업+찜질시설서비스영업","0","0","0","0","1","1","0","Y","","","","임대","0","0","Y",
"64","목욕장업","11_44_01_P","6510000","6510000-202-2003-00003","2003-06-10","","01","영업/정상","01","영업","","","","","064 7298100","741.41","690-808","제주특별자치도 제주시 삼도이동 1254 외2필지","제주특별자치도 제주시 탑동로 66 (삼도이동,외2필지)","63165","쉐라톤제주스포츠센터사우나","2026-01-12 13:40:17","U","2026-01-14 02:40:00","공동탕업","155061.875089923","2562.87126480575","공동탕업","9","1","0","5","0","0","3","Y","","","","자가","0","0","N",
"65","목욕장업","11_44_01_P","3330000","3330000-202-2009-00001","2009-02-20","","01","영업/정상","01","영업","","","","","","8878.30","612-020","부산광역시 해운대구 우동 1495 신세계백화점 센텀점 1층~2층","부산광역시 해운대구 센텀남대로 35 (우동, 신세계백화점 센텀점 1층~2층)","48058","신세계 센텀시티 스파랜드","2026-01-12 11:28:47","U","2026-01-14 02:40:00","공동탕업+찜질시설서비스영업","393952.264486105","187602.933160728","공동탕업+찜질시설서비스영업","14","5","1","2","0","0","22","Y","","","","자가","0","0","Y",
"66","목욕장업","11_44_01_P","3650000","3650000-202-1973-00001","1973-10-17","","01","영업/정상","01","영업","","","","","042 271 7198","152.92","301-809","대전광역시 중구 문창동 67-57","대전광역시 중구 충무로 160-1 (문창동)","35024","화성목욕탕","2026-01-12 11:11:03","U","2026-01-14 02:40:00","공동탕업","238926.891610572","313347.202601413","공동탕업","3","1","1","1","0","0","2","Y","","","","","0","0","Y",
"67","목욕장업","11_44_01_P","5460000","5460000-202-2021-00001","2021-07-13","","01","영업/정상","01","영업","","","","","","409.13","676-801","경상남도 함양군 함양읍 교산리 968-6 반월빌딩","경상남도 함양군 함양읍 함양로 1173, 반월빌딩","50034","명성사우나","2026-01-12 11:59:45","U","2026-01-14 02:40:00","공동탕업","265970.568211893","225111.165264884","공동탕업","0","1","0","0","0","0","0","N","","","","자가","0","0","N",
"68","목욕장업","11_44_01_P","3690000","3690000-202-1979-00004","1979-11-23","","01","영업/정상","01","영업","","","","","052 2977722","169.40","681-821","울산광역시 중구 학성동 156-3","울산광역시 중구 옥교14길 36 (학성동)","44526","학성탕","2026-01-12 15:03:18","U","2026-01-14 02:40:00","공동탕업","411653.214902726","230710.200154936","공동탕업","3","1","1","2","0","0","0","N","","","","","0","0","N",
"69","목욕장업","11_44_01_P","4170000","4170000-202-1998-00001","1998-10-16","","01","영업/정상","01","영업","","","","","031 7722222","847.56","476-922","경기도 양평군 강하면 전수리 25-7","경기도 양평군 강하면 강남로 512","12575","리버타운사우나","2026-01-12 13:58:25","U","2026-01-14 02:40:00","공동탕업+찜질시설서비스영업","238918.646369268","444742.209238155","공동탕업+찜질시설서비스영업","3","0","3","0","0","0","0","N","","","","","0","0","Y",
"70","목욕장업","11_44_01_P","4321000","4321000-202-2026-00001","2026-01-13","","01","영업/정상","01","영업","","","","","","149.07","","강원특별자치도 양구군 해안면 현리 154 해안면 복지회관","강원특별자치도 양구군 해안면 펀치볼로 1301, 해안면 복지회관","24563","펀치볼종합복지센터 목욕탕","2026-01-13 17:21:02","I","2026-01-15 00:20:35","공동탕업","299410.304214227","531911.034362197","공동탕업","1","0","0","0","0","0","2","N","","","","","0","0","Y",
"71","목욕장업","11_44_01_P","4321000","4321000-202-2007-00001","2007-07-23","","03","폐업","02","폐업","2026-01-13","","","","033 481 0707","163.47","","강원특별자치도 양구군 해안면 현리 12-6","강원특별자치도 양구군 해안면 펀치볼로 1357-6","24563","해안면노인복지센터","2026-01-13 11:25:51","U","2026-01-15 02:40:00","공동탕업","299624.119119367","532428.656794048","공동탕업","0","1","0","0","0","0","2","N","","","","자가","0","0","N",
"72","목욕장업","11_44_01_P","4830000","4830000-202-2007-00001","2007-06-11","","01","영업/정상","01","영업","","","","","061 3395000","2718.46","520-862","전라남도 나주시 다도면 방산리 1449-4","전라남도 나주시 다도면 나주호로 588-184","","중흥골드스파&리조트","2026-01-13 10:02:29","U","2026-01-15 02:40:00","공동탕업+찜질시설서비스영업","188167.377171918","161046.809492787","공동탕업+찜질시설서비스영업","7","2","0","0","1","1","8","Y","","","","자가","0","0","N",
"73","목욕장업","11_44_01_P","6510000","6510000-202-1982-00007","1982-09-25","","01","영업/정상","01","영업","","","","","064 7432222","494.52","690-814","제주특별자치도 제주시 연동 272-34","제주특별자치도 제주시 신대로12길 45 (연동)","63124","유한회사 형석로얄","2026-01-13 14:41:41","U","2026-01-15 02:40:00","공동탕업","152684.983907009","-756.04716168001","공동탕업","0","0","0","0","0","1","2","Y","","","","자가","0","0","N",
"74","목욕장업","11_44_01_P","6510000","6510000-202-2005-10001","2005-09-23","","01","영업/정상","01","영업","","","","","064 7731337","312.00","695-944","제주특별자치도 제주시 한경면 신창리 18-2 외 2필지","제주특별자치도 제주시 한경면 신한로 76 (외 2필지)","63002","한경농협복지타운","2026-01-13 14:36:47","U","2026-01-15 02:40:00","공동탕업","124549.303666981","-16319.3480321431","공동탕업","2","1","1","2","0","0","6","N","","","","자가","0","0","N",
"75","목욕장업","11_44_01_P","4020000","4020000-202-2004-00002","2004-12-17","","01","영업/정상","01","영업","","","","","031 4775471","1849.00","435-824","경기도 군포시 금정동 765 두현타워 4,6층","경기도 군포시 당산로 104, 4,6층 (금정동, 두현타워)","15830","두현24시불가마사우나","2026-01-13 13:59:09","U","2026-01-15 02:40:00","공동탕업+찜질시설서비스영업","195183.703613233","428772.639773036","공동탕업+찜질시설서비스영업","7","4","4","6","0","0","0","N","","","","임대","0","0","N",
"76","목욕장업","11_44_01_P","3370000","3370000-202-2004-00003","2004-02-25","","01","영업/정상","01","영업","","","","","051 8627345","1387.92","611-831","부산광역시 연제구 연산동 1127-7 501,601호","부산광역시 연제구 월드컵대로 152 (연산동,501,601호)","47524","발리24시대중사우나","2026-01-13 13:51:15","U","2026-01-15 02:40:00","공동탕업+찜질시설서비스영업","389376.961500124","189510.649838926","공동탕업+찜질시설서비스영업","15","1","5","7","0","0","0","N","","","","자가","0","0","N",
"77","목욕장업","11_44_01_P","3580000","3580000-202-2006-00002","2006-02-06","","01","영업/정상","01","영업","","","","","032 8363306","347.54","409-851","인천광역시 옹진군 대청면 대청리 469-10","인천광역시 옹진군 대청면 대청북로 55","23105","대청 마을문화 복합센터(목욕탕)","2026-01-13 14:10:44","U","2026-01-15 02:40:00","공동탕업","-1602.13946375649","484364.391170561","공동탕업","1","0","1","0","0","0","2","Y","","","","","0","0","N",
"78","목욕장업","11_44_01_P","3490000","3490000-202-2025-00003","2025-12-24","","01","영업/정상","01","영업","","","","","032 751 0902","3762.52","400-440","인천광역시 중구 남북동 923","인천광역시 중구 용유서로 30, 인천조탕 1~4층 (남북동)","22384","인천조탕","2026-01-13 10:24:42","U","2026-01-15 02:40:00","공동탕업+찜질시설서비스영업","147227.596102079","438185.994794712","공동탕업+찜질시설서비스영업","4","0","0","0","0","0","2","Y","","","","","0","0","Y",
"79","목욕장업","11_44_01_P","3490000","3490000-202-2025-00002","2025-08-18","","01","영업/정상","01","영업","","","","","15775167","2183.97","400-320","인천광역시 중구 중산동 1873-14 블루오션 레지던스호텔 4, 2~3층","인천광역시 중구 자연대로 7, 블루오션 레지던스호텔 4 2~3층 (중산동)","22402","블루오션웰니스스파","2026-01-13 10:24:24","U","2026-01-15 02:40:00","공동탕업+찜질시설서비스영업","161233.838673507","442786.296093032","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","2","Y","","","","","0","0","N",
"80","목욕장업","11_44_01_P","4050000","4050000-202-2004-20003","2004-03-15","","01","영업/정상","01","영업","","","","","031 548 2217","3571.90","448-822","경기도 용인시 수지구 상현동 254-14 외6필지 원희캐슬프라자 B101","경기도 용인시 수지구 만현로 110 (상현동,외6필지 원희캐슬프라자 B101)","16930","노아상현(주)","2026-01-13 16:20:59","U","2026-01-15 02:40:00","공동탕업+찜질시설서비스영업","207423.63432336","422761.143603176","공동탕업+찜질시설서비스영업","6","3","0","0","1","1","2","N","","","","임대","","","N",
"81","목욕장업","11_44_01_P","5360000","5360000-202-2020-00001","2020-10-22","","01","영업/정상","01","영업","","","","","055 351 4448","1336.14","627-804","경상남도 밀양시 삼문동 79-7","경상남도 밀양시 삼문강변로 82, 2층 (삼문동)","50439","호텔아리나사우나","2026-01-13 16:01:10","U","2026-01-15 02:40:00","공동탕업","359101.380742172","221311.23922568","공동탕업","8","0","2","0","0","0","2","N","","","","자가","0","0","Y",
"82","목욕장업","11_44_01_P","4741000","4741000-202-2008-00001","2008-12-22","","01","영업/정상","01","영업","","","","","063 320 7407","3013.17","","전북특별자치도 무주군 설천면 심곡리 1209-22 무주리조트(카니발상가)","전북특별자치도 무주군 설천면 만선로 185, 무주리조트(카니발상가)","55556","세인트 휴 클럽(St 휴 Club)","2026-01-13 13:57:34","U","2026-01-15 02:40:00","찜질시설서비스영업","266549.190185713","265966.132911748","찜질시설서비스영업","1","2","1","0","1","2","8","N","","","","임대","0","0","Y",
"83","목욕장업","11_44_01_P","4741000","4741000-202-2018-00001","2018-05-25","","01","영업/정상","01","영업","","","","","","1105.86","","전북특별자치도 무주군 설천면 삼공리 569","전북특별자치도 무주군 설천면 월곡길 45","55557","나봄스파","2026-01-13 13:56:15","U","2026-01-15 02:40:00","공동탕업+찜질시설서비스영업","269613.748474184","266524.839070438","공동탕업+찜질시설서비스영업","0","0","1","1","0","0","6","N","","","","자가","0","0","Y",
"84","목욕장업","11_44_01_P","4741000","4741000-202-2016-00001","2016-12-13","","01","영업/정상","01","영업","","","","","","1663.05","","전북특별자치도 무주군 설천면 심곡리 626","전북특별자치도 무주군 설천면 만선1로 116","55555","반디찜질방.사우나","2026-01-13 13:58:05","U","2026-01-15 02:40:00","찜질시설서비스영업","268281.955860634","267983.492368454","찜질시설서비스영업","0","0","2","3","0","0","4","N","","","","","0","0","Y",
"85","목욕장업","11_44_01_P","5360000","5360000-202-2005-00002","2005-10-07","","01","영업/정상","01","영업","","","","","055 356 9811","1743.81","627-803","경상남도 밀양시 내이동 1123-2","경상남도 밀양시 내이1길 18 (내이동)","50423","해미안사우나","2026-01-13 15:57:33","U","2026-01-15 02:40:00","공동탕업","358278.479540108","223199.072299156","공동탕업","2","","1","","","","10","N","","","","자가","","","N",
"86","목욕장업","11_44_01_P","5360000","5360000-202-2006-00001","2006-02-15","","01","영업/정상","01","영업","","","","","055 3569889","1155.96","627-150","경상남도 밀양시 삼문동 727-5","경상남도 밀양시 새미리벌로 33 (삼문동)","50438","대영사우나","2026-01-13 16:02:04","U","2026-01-15 02:40:00","공동탕업","358509.560826471","221859.775726638","공동탕업","4","1","2","3","","","14","Y","","","","자가","","","N",
"87","목욕장업","11_44_01_P","5360000","5360000-202-2014-00001","2014-02-03","","01","영업/정상","01","영업","","","","","055 353 2580","1404.97","627-805","경상남도 밀양시 삼문동 369-16","경상남도 밀양시 삼문강변로 272 (삼문동)","50434","킹콩사우나","2026-01-13 15:58:46","U","2026-01-15 02:40:00","공동탕업","358481.266785163","222199.584348733","공동탕업","4","1","0","0","0","0","12","Y","","","","","","","Y",
"88","목욕장업","11_44_01_P","5410000","5410000-202-1995-00002","1995-06-13","","01","영업/정상","01","영업","","","","","055 5330270","458.33","635-801","경상남도 창녕군 창녕읍 교리 1053-4","경상남도 창녕군 창녕읍 우포2로 1221-1","50317","청하목욕탕","2026-01-13 11:22:43","U","2026-01-15 02:40:00","공동탕업","335015.73386817","228084.141954743","공동탕업","3","0","0","0","0","0","0","N","","","","","0","0","N",
"89","목욕장업","11_44_01_P","4221000","4221000-202-2026-00001","2026-01-14","","01","영업/정상","01","영업","","","","","070 40061278","356.62","","강원특별자치도 태백시 철암동 471-1","강원특별자치도 태백시 삼방길 4 (철암동)","26045","철암목욕탕","2026-01-14 17:49:45","I","2026-01-16 00:20:02","공동탕업","","","공동탕업","1","1","1","1","1","1","2","N","","","","자가","0","0","N",
"90","목욕장업","11_44_01_P","5070000","5070000-202-2019-00001","2019-12-24","","01","영업/정상","01","영업","","","","","054 8548896","654.62","760-140","경상북도 안동시 신안동 274-1 M컨벤션웨딩","경상북도 안동시 퇴계로 167, M컨벤션웨딩 2층 (신안동)","36688","제이원사우나","2026-01-14 15:56:48","U","2026-01-16 02:40:00","공동탕업","354974.688431737","342640.233747256","공동탕업","2","0","2","2","0","0","4","Y","","","","","1","1","N",
"91","목욕장업","11_44_01_P","3210000","3210000-202-2009-00004","2009-03-13","","03","폐업","02","폐업","2026-01-14","","","","0234732271","480.91","137-862","서울특별시 서초구 서초동 1355-3 서초월드오피스텔 지하2층","서울특별시 서초구 서운로 19 (서초동,서초월드오피스텔 지하2층)","06732","뉴녹주맥반석","2026-01-14 11:14:35","U","2026-01-16 02:40:00","찜질시설서비스영업","202508.646065919","442625.413940559","찜질시설서비스영업","0","0","0","0","2","0","0","N","","","","","0","0","Y",
"92","목욕장업","11_44_01_P","3300000","3300000-202-1983-01454","1983-12-26","","01","영업/정상","01","영업","","","","","051 5583363","293.80","607-837","부산광역시 동래구 온천동 1429-10","부산광역시 동래구 중앙대로1333번길 84 (온천동)","47733","청원탕","2026-01-14 14:10:28","U","2026-01-16 02:40:00","공동탕업","388717.785715772","191761.696410101","공동탕업","3","1","1","1","0","0","0","N","","","","","","","N",
"93","목욕장업","11_44_01_P","3230000","3230000-202-2006-00004","2006-10-16","","03","폐업","02","폐업","2026-01-14","","","","4201804","450.00","138-830","서울특별시 송파구 방이동 111-8 지하1층","서울특별시 송파구 오금로19길 9, 지하1층 (방이동)","05641","수정사우나","2026-01-14 11:35:20","U","2026-01-16 02:40:00","공동탕업","209976.524409625","445404.925079176","공동탕업","5","1","0","0","1","1","2","N","","","","자가","0","0","N",
"94","목욕장업","11_44_01_P","5420000","5420000-202-2010-00002","2010-03-25","","01","영업/정상","01","영업","","","","","055 6722900","993.17","638-808","경상남도 고성군 고성읍 서외리 219-6","경상남도 고성군 고성읍 성내로 55","52936","금강휘트니스센터","2026-01-14 14:24:46","U","2026-01-16 02:40:00","공동탕업","320053.751250361","164985.718568393","공동탕업","5","1","0","0","1","3","2","Y","","","","자가","0","0","N",
"95","목욕장업","11_44_01_P","4400000","4400000-202-2000-00003","2000-09-04","","01","영업/정상","01","영업","","","","","043 6407000","978.51","390-832","충청북도 제천시 청풍면 교리 33","충청북도 제천시 청풍면 청풍호로 1763","27215","청풍리조트사우나","2026-01-14 17:38:21","U","2026-01-16 02:40:00","공동탕업","304887.488905311","391501.880947449","공동탕업","0","0","0","","0","","0","N","","","","","","","N",
"96","목욕장업","11_44_01_P","4830000","4830000-202-2014-00001","2014-11-20","","01","영업/정상","01","영업","","","","","061 335 0200","3866.74","520-350","전라남도 나주시 빛가람동 197","전라남도 나주시 상야2길 7, 2층 213호 (빛가람동, 중흥에스-클레스메가티움1차)","58217","중흥오투스파","2026-01-15 13:25:11","U","2026-01-17 02:40:00","공동탕업+찜질시설서비스영업","180655.797180094","169351.291312889","공동탕업+찜질시설서비스영업","12","0","2","0","0","0","10","Y","","","","자가","8","4","Y",
"97","목욕장업","11_44_01_P","6520000","6520000-202-2023-00001","2023-03-22","","01","영업/정상","01","영업","","","","","","815.73","699-923","제주특별자치도 서귀포시 안덕면 화순리 2038-4","제주특별자치도 서귀포시 안덕면 화순서서로 69, 1~2층","63529","얼수(水)명촌화순사우나","2026-01-15 11:05:44","U","2026-01-17 02:40:00","공동탕업+찜질시설서비스영업","137407.410762948","-26364.0021613068","공동탕업+찜질시설서비스영업","2","0","1","2","0","0","2","Y","","","","","0","0","Y",
"98","목욕장업","11_44_01_P","3730000","3730000-202-2025-00001","2025-07-08","","01","영업/정상","01","영업","","","","","0522632888","340.47","","울산광역시 울주군 삼남읍 신화리 1603-4 금아드림스퀘어","울산광역시 울주군 삼남읍 도호길 31, 금아드림스퀘어 101호","44951","가호방 언양점","2026-01-15 17:26:51","U","2026-01-17 02:40:00","찜질시설서비스영업","393912.636755294","229756.405001891","찜질시설서비스영업","2","1","0","0","0","0","2","Y","","","","","0","0","Y",
"99","목욕장업","11_44_01_P","3730000","3730000-202-2022-00001","2022-08-31","","01","영업/정상","01","영업","","","","","","667.46","689-883","울산광역시 울주군 서생면 서생리 183-1","울산광역시 울주군 서생면 해맞이로 1575-10, 2층","45013","서생진하목욕탕","2026-01-15 16:16:37","U","2026-01-17 02:40:00","공동탕업","412659.358287194","211713.754074835","공동탕업","0","0","0","0","0","0","9","N","","","","","0","0","N",
"100","목욕장업","11_44_01_P","5130000","5130000-202-2016-00004","2016-12-13","","01","영업/정상","01","영업","","","","","053 814 1155","2285.31","712-100","경상북도 경산시 백천동 287-5 지하1층","경상북도 경산시 경청로216길 30, 지하1층 (백천동)","38649","백자산목욕탕","2026-01-15 15:32:29","U","2026-01-17 02:40:00","공동탕업","357354.628769974","256855.486655099","공동탕업","4","1","0","0","1","1","8","N","","","","","0","0","N",
