"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","점포구분명",
"69","대규모점포","08_25_01_P","3080000","2011308013907500005","2011-09-09","","01","영업/정상","1","정상영업","","","","","000209441510","8319.26","142-100","서울특별시 강북구 미아동 1359번지","서울특별시 강북구 삼양로 247 (미아동)","142-100","롯데쇼핑(주) 롯데마트 삼양점","2026-01-08 09:32:14","U","2026-01-10 02:40:00","복합쇼핑몰","201494.627293774","458136.342274236","대규모점포",
"70","대규모점포","08_25_01_P","3010000","2005301007107500002","1973-10-30","","02","휴업","2","휴업처리","","2025-04-01","2026-03-30","","02 7712500","13877.55","","서울특별시 중구 남대문로2가 123호","서울특별시 중구 남대문로 67 (남대문로2가)","","롯데쇼핑본점영플라자","2026-01-08 13:35:17","U","2026-01-10 02:40:00","백화점","198315.532747026","451248.141599825","대규모점포",
"71","대규모점포","08_25_01_P","4060000","2025406055207500001","2025-12-30","","01","영업/정상","1","정상영업","","","","","031-960-3194","36314","","경기도 파주시 문발동 645 롯데프리미엄아울렛","경기도 파주시 회동길 390, 롯데프리미엄아울렛 (문발동)","10881","롯데쇼핑(주) 프리미엄아울렛 파주점","2026-01-08 14:31:10","U","2026-01-10 02:40:00","복합쇼핑몰","172931.265518853","468411.848859123","대규모점포",
"72","대규모점포","08_25_01_P","3510500","2023351057907500002","2023-05-02","","01","영업/정상","1","정상영업","","","","","872-5601","165","","인천광역시 미추홀구 용현동 92-17","인천광역시 미추홀구 인하로 107 (용현동)","22208","롯데쇼핑(주)롯데슈퍼 인하대점","2026-01-08 14:40:19","U","2026-01-10 02:40:00","그 밖의 대규모점포","169860.034040713","438759.181290214","준대규모점포",
"73","대규모점포","08_25_01_P","3300000","2008330006407500001","2008-05-26","","01","영업/정상","1","정상영업","","","","","668-2500","11436.38","607-060","부산광역시 동래구 온천동 502번지 3호","부산광역시 동래구 중앙대로 1393 (온천동)","607-716","롯데쇼핑(주) 롯데마트 동래점","2026-01-08 17:48:38","U","2026-01-10 02:40:00","대형마트","389097.800933845","192260.811648263","대규모점포",
"74","대규모점포","08_25_01_P","3300000","2012330007907500001","2001-09-17","","01","영업/정상","1","정상영업","","","","","051-668-2202","29893.22","","","부산광역시 동래구 중앙대로 1393 (온천동)","607-716","롯데백화점 동래점","2026-01-08 17:45:43","U","2026-01-10 02:40:00","백화점","389097.800933845","192260.811648263","대규모점포",
"75","대규모점포","08_25_01_P","5680000","2008463008007500002","2008-11-10","","01","영업/정상","1","정상영업","","","","","041-350-7021","10356.86","343-090","충청남도 당진시 원당동 824번지","충청남도 당진시 정안로 20 (원당동)","343-090","롯데쇼핑(주) 롯데마트 당진점","2026-01-08 09:17:12","U","2026-01-10 02:40:00","대형마트","168374.445833845","378301.437167256","대규모점포",
"76","대규모점포","08_25_01_P","3700000","2010370005307500001","1999-07-14","","01","영업/정상","1","정상영업","","","","","052 228 2511","10704","680-030","울산광역시 남구 달동 830번지 1호","울산광역시 남구 삼산로 74 (달동)","","롯데마트 울산점","2026-01-09 16:30:06","U","2026-01-11 02:40:00","대형마트","409970.39080848","228450.864733161","대규모점포",
"77","대규모점포","08_25_01_P","3700000","2009370005307500001","2001-07-20","","01","영업/정상","1","정상영업","","","","","052-960-2812","29960","680-746","울산광역시 남구 삼산동 1480번지 1호 롯데백화점","울산광역시 남구 삼산로 288 (삼산동)","680-746","롯데백화점 울산점","2026-01-09 17:00:46","U","2026-01-11 02:40:00","백화점","412001.966655452","229039.563308072","대규모점포",
"78","대규모점포","08_25_01_P","5330000","2003533001507500001","2020-02-11","","01","영업/정상","1","정상영업","","","","","055 640 2520","8638.05","","경상남도 통영시 무전동 1069호","경상남도 통영시 무전대로 65 (무전동)","","롯데쇼핑(주)롯데마트통영점","2026-01-09 09:06:03","U","2026-01-11 02:40:00","복합쇼핑몰","330528.677424652","152263.189898881","대규모점포",
"79","대규모점포","08_25_01_P","3410000","2010341007107500002","1997-09-03","","01","영업/정상","1","정상영업","","","","","053 251 3391","25138.34","","대구광역시 중구 덕산동 53-3 동아쇼핑","대구광역시 중구 달구벌대로 2085, 동아쇼핑 (덕산동)","41936","동아쇼핑점","2026-01-09 14:28:49","U","2026-01-11 02:40:00","쇼핑센터","343705.561002201","264056.630948974","대규모점포",
"80","대규모점포","08_25_01_P","4830000","2012483013707500001","2012-04-27","","01","영업/정상","1","정상영업","","","","","061 339 3200","3464.47","520-130","전라남도 나주시 송월동 1106번지 2호","전라남도 나주시 내동길 15 (송월동)","520-130","롯데쇼핑(주) 롯데마트 나주점","2026-01-09 09:30:07","U","2026-01-11 02:40:00","복합쇼핑몰","173723.946573431","168292.405472667","대규모점포",
"81","대규모점포","08_25_01_P","3180000","2009318011707500003","1982-04-22","","01","영업/정상","1","정상영업","","","","","842-0008","8388.65","150-820","서울특별시 영등포구 대림1동 909번지 2호","서울특별시 영등포구 신길로 41 (대림동)","","썬프라자","2026-01-09 17:00:56","U","2026-01-11 02:40:00","쇼핑센터","191800.728214995","443809.773854649","대규모점포",
"82","대규모점포","08_25_01_P","3980000","2007398007807500001","2007-08-09","","01","영업/정상","1","정상영업","","","","","02-2145-8000","10498.3","471-010","경기도 구리시 인창동 430번지","경기도 구리시 동구릉로136번길 57 (인창동)","","롯데쇼핑(주) 롯데마트 그랑그로서리 구리점","2026-01-09 07:25:51","U","2026-01-11 02:40:00","대형마트","212367.118425352","456712.576784184","대규모점포",
"83","대규모점포","08_25_01_P","3980000","2012398010807500004","2012-05-22","","01","영업/정상","1","정상영업","","","","","031-569-5602","592.2","","","경기도 구리시 장자대로37번길 55 (교문동)","471-706","롯데슈퍼 교문점","2026-01-09 07:29:13","U","2026-01-11 02:40:00","복합쇼핑몰","211732.000146084","454218.547394414","준대규모점포",
"84","대규모점포","08_25_01_P","5710000","2011436012407500001","2011-06-10","","03","폐업","3","폐업처리","2017-05-01","","","","0432908000","15531","","충청북도 청주시 청원구 율량동 500-3번지","충청북도 청주시 청원구 충청대로 114 (율량동)","","홈플러스(주) 동청주점","2026-01-09 17:16:33","U","2026-01-11 02:40:00","대형마트","244184.944567344","351834.595747257","대규모점포",
"85","대규모점포","08_25_01_P","3910000","2009391018107500003","2009-05-28","","01","영업/정상","1","정상영업","","","","","031-8053-2521","11450.91","450-020","경기도 평택시 합정동 968번지 1호","경기도 평택시 평택5로 30 (합정동)","450-020","롯데쇼핑(주) 롯데마트 평택점","2026-01-09 17:18:20","U","2026-01-11 02:40:00","전문점","209876.420133429","387425.098329575","대규모점포",
"86","대규모점포","08_25_01_P","5600000","2026560022907500001","2026-01-12","","01","영업/정상","1","정상영업","","","","","031-533-5601","756.39","","경기도 포천시 일동면 기산리 82-33","경기도 포천시 일동면 화동로 1072, 롯데슈퍼 포천일동점","11117","롯데쇼핑(주)롯데슈퍼 포천일동점","2026-01-12 11:30:37","I","2026-01-14 00:20:02","그 밖의 대규모점포","227943.019194804","495179.808446276","준대규모점포",
"87","대규모점포","08_25_01_P","3320000","2010332007907500001","2010-04-30","","01","영업/정상","1","정상영업","","","","","051-366-2007","7653.57","","부산광역시 북구 덕천동 398-2 폴라렉스","부산광역시 북구 만덕대로 23, 폴라렉스 (덕천동)","46548","뉴코아 덕천점","2026-01-12 13:55:25","U","2026-01-14 02:40:00","복합쇼핑몰","382731.210151804","192059.745558294","대규모점포",
"88","대규모점포","08_25_01_P","3390000","2006339001507500001","2006-05-16","","01","영업/정상","1","정상영업","","","","","051 329 2511","14645","617-830","부산광역시 사상구 엄궁동 690번지","부산광역시 사상구 낙동대로 733 (엄궁동)","617-830","롯데쇼핑(주)롯데마트사상점","2026-01-12 14:33:15","U","2026-01-14 02:40:00","복합쇼핑몰","379352.805619145","182712.079140728","대규모점포",
"89","대규모점포","08_25_01_P","3150000","2011315012307500008","2011-10-05","","01","영업/정상","1","정상영업","","","","","000226055602","162.4","157-881","서울특별시 강서구 화곡1동 343번지 52호","서울특별시 강서구 강서로 43 (화곡동)","157-881","롯데쇼핑(주)롯데슈퍼화곡점","2026-01-12 14:43:17","U","2026-01-14 02:40:00","구분없음","186366.013413728","447719.836723478","준대규모점포",
"90","대규모점포","08_25_01_P","3150000","2011315012307500006","2011-10-04","","01","영업/정상","1","정상영업","","","","","000226645606","735.3","157-850","서울특별시 강서구 방화2동 533번지 9호","서울특별시 양천로6길 15","157-850","롯데쇼핑(주)롯데슈퍼개화산점","2026-01-12 14:50:12","U","2026-01-14 02:40:00","구분없음","182944.731406147","452207.427296372","준대규모점포",
"91","대규모점포","08_25_01_P","3150000","2012315014507500005","2012-03-29","","01","영업/정상","1","정상영업","","","","","000220645601","461.2","157-703","서울특별시 강서구 내발산동 719번지 6호","서울특별시 강서구 강서로 267 (내발산동)","157-280","롯데쇼핑(주)롯데슈퍼 우장산점","2026-01-12 14:47:10","U","2026-01-14 02:40:00","구분없음","185431.066605778","449714.813765198","준대규모점포",
"92","대규모점포","08_25_01_P","3150000","2012315014507500006","2012-03-29","","01","영업/정상","1","정상영업","","","","","000226635601","847.4","157-846","서울특별시 강서구 방화1동 187번지 1호","서울특별시 강서구 방화대로34길 83 (방화동)","157-846","롯데쇼핑(주)롯데슈퍼 방화점","2026-01-12 14:48:37","U","2026-01-14 02:40:00","구분없음","184102.782470646","452097.370050563","준대규모점포",
"93","대규모점포","08_25_01_P","3230000","2011323019807500001","1984-02-08","","01","영업/정상","1","정상영업","","","","","024166006","5269","138-851","서울특별시 송파구 송파1동 121번지","서울특별시 송파구 가락로 183 (송파동)","138-851","한화 송파지점","2026-01-12 09:24:51","U","2026-01-14 02:40:00","그 밖의 대규모점포","210057.912138022","444767.367639796","대규모점포",
"94","대규모점포","08_25_01_P","5020000","2006502013207500001","2006-12-01","","01","영업/정상","1","정상영업","","","","","054 222 2500","3411.57","","경상북도 포항시남구 지곡동 481번지 1호","경상북도 포항시 남구 지곡로 237 (지곡동)","","롯데쇼핑(주) 롯데마트 포항점","2026-01-12 11:26:23","U","2026-01-14 02:40:00","대형마트","409480.142751731","283289.316547036","대규모점포",
"95","대규모점포","08_25_01_P","5020000","2011502018807500005","2011-09-30","","01","영업/정상","1","정상영업","","2025-06-05","2026-06-04","","054-276-5602","1785","","경상북도 포항시 북구 죽도동 641번지 1호 외 8필지","경상북도 포항시 북구 포스코대로 277 (죽도동)","37754","롯데쇼핑(주)롯데슈퍼 포항점","2026-01-12 10:29:49","U","2026-01-14 02:40:00","복합쇼핑몰","412221.390119272","282671.390844499","준대규모점포",
"96","대규모점포","08_25_01_P","5710000","2024571023607500001","2024-05-28","","01","영업/정상","1","정상영업","","","","","043-223-3458","47307.68","","충청북도 청주시 흥덕구 가경동 1416 청주센트럴시티(터미널복합)","충청북도 청주시 흥덕구 2순환로 1225, 청주센트럴시티(터미널복합) (가경동)","28396","청주센트럴시티","2026-01-12 17:34:33","U","2026-01-14 02:40:00","쇼핑센터","238449.433440246","347396.698510935","대규모점포",
"97","대규모점포","08_25_01_P","4080000","2006408014107500002","2006-10-04","","01","영업/정상","1","정상영업","","","","","031-691-2500","13587.5","456-824","경기도 안성시 공도읍 양기리 산 2번지 13호","경기도 안성시 공도읍 서동대로 4478","456-820","롯데쇼핑(주)롯데마트안성점","2026-01-12 09:05:43","U","2026-01-14 02:40:00","대형마트","217695.637116434","389592.895375219","대규모점포",
"98","대규모점포","08_25_01_P","4020000","2005402008107500001","2005-10-28","","01","영업/정상","1","정상영업","","","","","031-390-5000","11180","435-045","경기도 군포시 산본동 1231번지","경기도 군포시 번영로 504 (산본동)","435-045","뉴코아아울렛 산본점","2026-01-12 13:29:52","U","2026-01-14 02:40:00","그 밖의 대규모점포","193729.872096481","428221.430499605","대규모점포",
"99","대규모점포","08_25_01_P","3350000","2009335008007500001","2009-07-24","","01","영업/정상","1","정상영업","","","","","051-509-7005","44990.18","","부산광역시 금정구 장전동 40","부산광역시 금정구 부산대학로63번길 2(장전동)","46241","NC 부산대점","2026-01-12 18:18:51","U","2026-01-14 02:40:00","쇼핑센터","389314.662086382","194669.898821674","대규모점포",
"100","대규모점포","08_25_01_P","5020000","2018502031107500002","2018-11-12","","01","영업/정상","1","정상영업","","","","","","542","","경상북도 포항시 북구 장성동 977번지","경상북도 포항시 북구 성실로 67-4, 1층 (장성동)","37617","롯데쇼핑(주) 롯데슈퍼 포항장성점","2026-01-12 10:34:55","U","2026-01-14 02:40:00","구분없음","413736.014340543","288021.958974305","준대규모점포",
"101","대규모점포","08_25_01_P","3820000","2026382042207500001","2026-01-12","","01","영업/정상","1","정상영업","","","","","031-849-2505","6406.64","","경기도 의정부시 장암동 38-10 롯데마트장암점","경기도 의정부시 장곡로 224, 롯데마트장암점 (장암동)","11722","롯데마트 장암점","2026-01-13 15:47:30","I","2026-01-15 00:20:35","대형마트","204630.543411273","469034.163890834","대규모점포",
"102","대규모점포","08_25_01_P","4490000","2004449023407500001","2004-04-30","","01","영업/정상","1","정상영업","","","","","041 629 8513","12126.78","331-170","충청남도 천안시 서북구 성정동 1486번지","충청남도 천안시 서북구 성정두정로 1 (성정동)","331-978","롯데쇼핑(주)롯데마트성정점","2026-01-13 13:49:58","U","2026-01-15 02:40:00","구분없음","212419.103451336","369433.656719309","대규모점포",
"103","대규모점포","08_25_01_P","4030000","2002403006007500003","2002-06-17","","01","영업/정상","1","정상영업","","","","","031 471 2521","11672","","경기도 의왕시 내손동 743호","경기도 의왕시 계원대학로 7 (내손동, 롯데마트)","437-081","롯데쇼핑(주) 롯데마트 의왕점","2026-01-13 12:56:20","U","2026-01-15 02:40:00","대형마트","197598.213989563","430907.769943711","대규모점포",
"104","대규모점포","08_25_01_P","5060000","2014506010207500001","2014-04-01","","01","영업/정상","1","정상영업","","","","2014-11-27","02-2145-8000","9111.86","","경상북도 김천시 신음동 470","경상북도 김천시 시청로 80, 1층 (신음동)","39544","롯데쇼핑(주)롯데마트김천점","2026-01-13 20:15:42","U","2026-01-15 02:40:00","대형마트","300539.27821686","293407.852900489","대규모점포",
"105","대규모점포","08_25_01_P","4030000","2019403018707500001","2019-12-04","","01","영업/정상","1","정상영업","","","","","031-8064-2732","49011.79","","경기도 의왕시 학의동 1039 롯데프리미엄아울렛 타임빌라스","경기도 의왕시 바라산로 1 (학의동)","16016","롯데쇼핑(주) 프리미엄아울렛 의왕점","2026-01-13 12:59:59","U","2026-01-15 02:40:00","복합쇼핑몰","200775.6096513","430435.021970577","대규모점포",
"106","대규모점포","08_25_01_P","3540000","2006354006107500001","2006-12-22","","01","영업/정상","1","정상영업","","","","","032 509 2500","1606.6","","인천광역시 부평구 산곡동 159-52 롯데마트 부평점","인천광역시 부평구 마장로 296, 롯데마트 부평점 (산곡동)","21362","롯데쇼핑(주)롯데마트부평점","2026-01-13 14:54:19","U","2026-01-15 02:40:00","대형마트","173767.426219215","444794.439991356","대규모점포",
"107","대규모점포","08_25_01_P","3540000","2007354006107500003","2007-12-20","","01","영업/정상","1","정상영업","","","","","363-2500","15652.92","","인천광역시 부평구 삼산동 465-1 대덕리치아노","인천광역시 부평구 길주로 623, 대덕리치아노 (삼산동)","21344","롯데쇼핑(주)롯데마트삼산점","2026-01-13 14:55:57","U","2026-01-15 02:40:00","대형마트","176238.624820895","445107.924835985","대규모점포",
"108","대규모점포","08_25_01_P","3540000","2000354004707500001","2000-02-08","","01","영업/정상","1","정상영업","","","","","032 5062500","8082","","인천광역시 부평구 부평동 738-21 부평민자역사","인천광역시 부평구 광장로 16(부평동)","21404","롯데쇼핑(주)롯데마트부평역점","2026-01-13 14:55:21","U","2026-01-15 02:40:00","대형마트","175405.11373693","443089.591009306","대규모점포",
"109","대규모점포","08_25_01_P","3930000","2007393017607500002","2007-10-29","","01","영업/정상","1","정상영업","","","","","0314052001","15823.57","","경기도 안산시 단원구 고잔동 725번지 1호","경기도 안산시 단원구 광덕대로 194 (고잔동)","15462","NC고잔점","2026-01-13 14:29:23","U","2026-01-15 02:40:00","복합쇼핑몰","184953.121683517","423556.960051606","대규모점포",
"110","대규모점포","08_25_01_P","3050000","2010305010007500002","2010-08-11","","01","영업/정상","1","정상영업","","","","","02-3706-4710","10910.6","130-851","서울특별시 동대문구 전농1동 591번지 53호","서울특별시 동대문구 왕산로 214 (전농동)","130-851","롯데쇼핑(주)롯데마트 청량리점","2026-01-13 11:03:56","U","2026-01-15 02:40:00","대형마트","204081.282117393","453187.395154017","대규모점포",
"111","대규모점포","08_25_01_P","3050000","2011305014007500002","2011-09-07","","01","영업/정상","1","정상영업","","","","","02-2248-7800","1701.2","130-020","서울특별시 동대문구 전농동 10번지 외7필지 전농sk아파트 주상가동","서울특별시 동대문구 사가정로 148 (전농동, SK아파트)","130-769","롯데쇼핑(주) 롯데슈퍼 전농점","2026-01-13 11:01:41","U","2026-01-15 02:40:00","구분없음","205271.704936121","452706.897879436","준대규모점포",
"112","대규모점포","08_25_01_P","3050000","2011305014007500003","2011-09-07","","01","영업/정상","1","정상영업","","","","","02-2242-5611","769.5","130-835","서울특별시 동대문구 장안동 94번지 27호 외1필지 예신프라자","서울특별시 동대문구 한천로46길 42 (장안동)","130-835","롯데쇼핑(주) 롯데슈퍼 장안점","2026-01-13 11:00:17","U","2026-01-15 02:40:00","복합쇼핑몰","206176.178625746","453248.09724644","준대규모점포",
"113","대규모점포","08_25_01_P","3230000","2011323019807500003","2011-08-29","","01","영업/정상","1","정상영업","","","","","2290-5853","300.01","138-908","서울특별시 송파구 잠실2동 19번지 8호","서울특별시 송파구 올림픽로 111 (잠실동)","138-908","롯데쇼핑(주)롯데슈퍼신천점","2026-01-13 18:00:13","U","2026-01-15 02:40:00","구분없음","207270.219021574","445550.277249649","준대규모점포",
"114","대규모점포","08_25_01_P","3230000","2011323019807500004","2011-08-29","","01","영업/정상","1","정상영업","","","","","2290-5853","288","138-915","서울특별시 송파구 잠실3동 35번지 2호","서울특별시 송파구 석촌호수로 61 (잠실동)","138-915","롯데쇼핑(주)롯데슈퍼잠실3동점","2026-01-13 17:47:25","U","2026-01-15 02:40:00","구분없음","207553.918225133","445383.338011122","준대규모점포",
"115","대규모점포","08_25_01_P","3230000","2011323019807500005","2011-09-05","","01","영업/정상","1","정상영업","","","","","3431-5602","172.8","138-828","서울특별시 송파구 방이2동 63번지 11호","서울특별시 송파구 올림픽로32길 20 (방이동)","138-828","롯데쇼핑(주)롯데슈퍼방이점","2026-01-13 17:54:01","U","2026-01-15 02:40:00","구분없음","209576.621957045","445779.100983519","준대규모점포",
"116","대규모점포","08_25_01_P","3230000","2012323019807500003","2012-04-05","","01","영업/정상","1","정상영업","","","","","422-9003","693","138-779","서울특별시 송파구 송파2동 121번지 한양2차아파트 1층 6,7호호","서울특별시 송파구 가락로 183, 1층 6,7호 (송파동)","138-851","롯데쇼핑(주)롯데슈퍼송파점","2026-01-13 18:01:52","U","2026-01-15 02:40:00","구분없음","210057.912138022","444767.367639796","준대규모점포",
"117","대규모점포","08_25_01_P","3230000","2012323019807500004","2012-03-30","","01","영업/정상","1","정상영업","","","","","2290-5853","203.3","138-879","서울특별시 송파구 풍납2동 400번지 5호   101호","서울특별시 송파구 강동대로9길 20 (풍납동)","138-879","롯데쇼핑(주)롯데슈퍼풍납점","2026-01-13 17:57:03","U","2026-01-15 02:40:00","구분없음","210274.185529862","447307.649759292","준대규모점포",
"118","대규모점포","08_25_01_P","4090000","2017409032207500001","2017-12-21","","01","영업/정상","1","정상영업","","","","","031-8049-2500","11900.82","","","경기도 김포시 김포한강2로 41-0 (장기동)","415-060","롯데쇼핑(주) 롯데마트 김포한강점","2026-01-13 19:03:00","U","2026-01-15 02:40:00","대형마트","171471.604963288","459839.83969575","대규모점포",
"119","대규모점포","08_25_01_P","3590000","2001359001107500001","2001-10-10","","01","영업/정상","1","정상영업","","","","","062-718-9331","18487","","광주광역시 동구 충장로4가 29번지 2호 외3필지","광주광역시 동구 중앙로 163 (충장로4가)","501-725","NC WAVE 충장점","2026-01-13 14:13:18","U","2026-01-15 02:40:00","쇼핑센터","192005.763977005","183296.861295777","대규모점포",
"120","대규모점포","08_25_01_P","4070000","2013407008807500003","2013-10-30","","01","영업/정상","1","정상영업","","","","","031-633-6898","14628","467-804","경기도 이천시 창전동 152번지 5호","경기도 이천시 영창로 165 (창전동)","467-804","(주)이랜드리테일NC이천점","2026-01-13 14:06:50","U","2026-01-15 02:40:00","쇼핑센터","239066.829966423","420094.84719581","대규모점포",
"121","대규모점포","08_25_01_P","4070000","2014407008807500001","2014-12-17","","01","영업/정상","1","정상영업","","","","","","14460.81","","경기도 이천시 안흥동 474번지 롯데캐슬 골드스카이","경기도 이천시 구만리로 191 (안흥동, 롯데캐슬 골드스카이)","17372","롯데쇼핑(주) 롯데마트 이천점","2026-01-13 13:58:30","U","2026-01-15 02:40:00","대형마트","240254.30365186","419284.62693122","대규모점포",
"122","대규모점포","08_25_01_P","5130000","2001513001707500001","2001-05-12","","01","영업/정상","1","정상영업","","","","","0220125805","12133","","경상북도 경산시 중방동 332번지 13호","경상북도 경산시 중앙로 39 (중방동)","","NC 경산점","2026-01-14 14:18:41","U","2026-01-16 02:40:00","쇼핑센터","356401.773686684","259344.674567842","대규모점포",
"123","대규모점포","08_25_01_P","4810000","2005481001907500002","2005-11-02","","01","영업/정상","1","정상영업","","","","","650-2510","7900","","전라남도 여수시 선원동 1268번지 2호","전라남도 여수시 무선로 187 (선원동)","","롯데쇼핑(주) 롯데마트 여천점","2026-01-14 15:50:55","U","2026-01-16 02:40:00","대형마트","259541.66563628","142254.373781411","대규모점포",
"124","대규모점포","08_25_01_P","3600000","2007360006807500001","2007-01-11","","01","영업/정상","1","정상영업","","","","","062 610 2500","13031","","광주광역시 서구 풍암동 423번지 2   호 월드컵경기장내","광주광역시 서구 금화로 240 (풍암동)","502-156","롯데쇼핑(주)롯데마트 월드컵점","2026-01-14 11:43:33","U","2026-01-16 02:40:00","대형마트","188791.275961965","181590.099672513","대규모점포",
"125","대규모점포","08_25_01_P","3600000","2012360008407500001","2012-04-20","","01","영업/정상","1","정상영업","","","","","062-606-2500","17553.8","502-831","광주광역시 서구 풍암동 423번지 2호","광주광역시 서구 금화로 240 (풍암동)","502-156","롯데아울렛 광주 월드컵점","2026-01-14 11:35:00","U","2026-01-16 02:40:00","쇼핑센터","188791.275961965","181590.099672513","대규모점포",
"126","대규모점포","08_25_01_P","5080000","2009508013307500001","1990-05-12","","01","영업/정상","1","정상영업","","","","","054 459 0220","5755.53","730-729","경상북도 구미시 송정동 60번지 동아백화점","경상북도 구미시 송원동로 28 (송정동, 동아백화점)","730-729","동아백화점구미점","2026-01-14 11:28:59","U","2026-01-16 02:40:00","대형마트","321336.908311758","291866.814770578","대규모점포",
"127","대규모점포","08_25_01_P","3780000","2000378000007530973","1995-09-04","","01","영업/정상","1","정상영업","","","","","031-780-3502","25663.32","","경기도 성남시 분당구 야탑동 산 357번지 1호","경기도 성남시 분당구 야탑로81번길 11 (야탑동, NC백화점)","13497","NC백화점 야탑점","2026-01-14 11:19:30","U","2026-01-16 02:40:00","백화점","211200.046775342","434263.681539619","대규모점포",
"128","대규모점포","08_25_01_P","3780000","2002378007607500001","2002-04-20","","01","영업/정상","1","정상영업","","","","","031-786-2001","20698.77","","경기도 성남시 분당구 구미동 11번지 4호 2001아울렛","경기도 성남시 분당구 미금일로154번길 20, 2001아울렛 (구미동)","13630","이천일아울렛 분당점","2026-01-14 11:20:24","U","2026-01-16 02:40:00","복합쇼핑몰","209436.079182931","427437.237499513","대규모점포",
"129","대규모점포","08_25_01_P","3100000","2005310009607500004","2005-08-26","","01","영업/정상","1","정상영업","","","","","02950 2500","48227.17","","서울특별시 노원구 상계동 713호","서울특별시 노원구 동일로 1414 (상계동)","139-708","롯데백화점 노원점","2026-01-14 14:01:11","U","2026-01-16 02:40:00","복합쇼핑몰","205320.28476675","461419.881795004","대규모점포",
"130","대규모점포","08_25_01_P","3010000","2004301007107500001","2004-06-01","","01","영업/정상","1","정상영업","","","","","02-390-2521","11090.62","","서울특별시 중구 봉래동2가 122호","서울특별시 중구 청파로 426 (봉래동2가)","100-162","롯데쇼핑(주)롯데마트 제타플렉스 서울역점","2026-01-14 09:39:36","U","2026-01-16 02:40:00","대형마트","197242.994816102","450658.947895548","대규모점포",
"131","대규모점포","08_25_01_P","3230000","2014323019807500012","2014-07-17","","01","영업/정상","1","정상영업","","","","","02-2145-8494","6665.89","","서울특별시 송파구 신천동 29번지 롯데월드타워앤드롯데월드몰","서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 (신천동)","05551","롯데쇼핑(주) 롯데마트 월드타워점","2026-01-14 21:52:13","U","2026-01-16 02:40:00","대형마트","209074.900840074","445657.80932984","대규모점포",
"132","대규모점포","08_25_01_P","3230000","1989323007807500015","1998-08-19","","01","영업/정상","1","정상영업","","","","","024118411","20982","","서울특별시 송파구 잠실동 40번지 1호","서울특별시 송파구 올림픽로 240 (잠실동)","138-721","롯데쇼핑(주)롯데마트 제타플렉스 잠실점","2026-01-14 21:47:39","U","2026-01-16 02:40:00","대형마트","208589.363343145","445455.90405262","대규모점포",
"133","대규모점포","08_25_01_P","3230000","2002323007807500002","2000-07-13","","01","영업/정상","1","정상영업","","","","","0220067710","17693","","서울특별시 송파구 문정동 150번지 2호","서울특별시 송파구 중대로 80 (문정동)","138-885","롯데쇼핑(주)롯데마트 송파점","2026-01-14 21:50:56","U","2026-01-16 02:40:00","대형마트","210343.699256005","443288.284974717","대규모점포",
"134","대규모점포","08_25_01_P","3600000","2000360001207500001","2000-09-04","","01","영업/정상","1","정상영업","","","","","006206022520","14073","","광주광역시 서구 치평동 1239호","광주광역시 서구 시청로 40 (치평동, 롯데마트 상무점)","502-827","롯데쇼핑(주)롯데마트맥스 상무점","2026-01-14 11:44:12","U","2026-01-16 02:40:00","대형마트","186476.010874769","183702.292924632","대규모점포",
"135","대규모점포","08_25_01_P","3990000","2005399008907500001","2005-03-24","","01","영업/정상","1","정상영업","","","","","031 579 7700","7189","","경기도 남양주시 와부읍 덕소리 501-3호","경기도 남양주시 와부읍 월문천로 33","472-901","롯데쇼핑(주)롯데마트덕소점","2026-01-14 19:15:36","U","2026-01-16 02:40:00","구분없음","218882.001813215","453620.325834171","대규모점포",
"136","대규모점포","08_25_01_P","3990000","2010399021407500001","2010-11-12","","01","영업/정상","1","정상영업","","","","","031-748-2500","8090.9","472-845","경기도 남양주시 화도읍 마석우리 255번지 24호","경기도 남양주시 화도읍 경춘로 1992","472-846","롯데쇼핑(주)롯데마트 마석점","2026-01-14 19:11:58","U","2026-01-16 02:40:00","전문점","227234.544976879","460930.696005881","대규모점포",
"137","대규모점포","08_25_01_P","4671000","2007467011207500001","2007-02-20","","01","영업/정상","1","정상영업","","","","","063-441-2520","14381","","전북특별자치도 군산시 수송동 833","전북특별자치도 군산시 수송로 185(수송동)","54091","롯데쇼핑 (주) 롯데마트군산점","2026-01-14 16:18:57","U","2026-01-16 02:40:00","구분없음","174344.898655429","273872.128355095","대규모점포",
"138","대규모점포","08_25_01_P","3310000","2012331008207500002","2012-04-30","","01","영업/정상","1","정상영업","","","","","0516365601","525.6","608-828","부산광역시 남구 문현4동 358번지 9호","부산광역시 남구 지게골로 45 (문현동)","608-828","롯데쇼핑(주)롯데슈퍼 부산문현점","2026-01-14 11:08:36","U","2026-01-16 02:40:00","그 밖의 대규모점포","388650.24444681","183818.88630021","준대규모점포",
