"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","판매점영업면적",
"74","안전상비의약품 판매업소","01_01_05_P","3110000","PHMH320163110032087500012","2016-03-07","","01","영업/정상","13","영업중","","","","","356-5930","","","서울특별시 은평구 갈현동 267-56 어울림빌","서울특별시 은평구 갈현로29길 53 (갈현동, 어울림빌)","03322","씨유 대성대박점","2026-04-02 11:13:30","U","2026-04-04 02:40:00","","192090.280667818","457806.746448487","0",
"75","안전상비의약품 판매업소","01_01_05_P","5310000","PHMH320235310029087500019","2023-10-20","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 상대동 193-11 동부시장","경상남도 진주시 대신로 297, 동부시장 (상대동)","52774","씨유 진주상대베스트점","2026-04-02 09:41:07","U","2026-04-04 02:40:00","","301638.99353992","188111.413404385","120",
"76","안전상비의약품 판매업소","01_01_05_P","3690000","PHMH320263690018087500001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","울산광역시 중구 복산동 829 번영로센트리지","울산광역시 중구 복산1길 1, 상가동 104호 (복산동, 번영로센트리지)","44469","지에스(GS)25 울산센트리지3단지점","2026-04-03 18:08:02","I","2026-04-05 00:20:22","","","","22.3",
"77","안전상비의약품 판매업소","01_01_05_P","4020000","PHMH320264020028087500001","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","","경기도 군포시 수리산로203번안길 10, 1층 (산본동)","15820","GS25 군포궁내점","2026-04-03 11:21:05","I","2026-04-05 00:20:22","","193109.936296636","429410.553538556","71",
"78","안전상비의약품 판매업소","01_01_05_P","4020000","PHMH320264020028087500002","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","","경기도 군포시 산본로101번길 4, 1층 (당정동)","15849","씨유 뉴군포공단점","2026-04-03 11:35:41","I","2026-04-05 00:20:22","","195987.905206557","427930.43870167","85.14",
"79","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320264060482087500004","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 동패동 2287","경기도 파주시 청석로 140, 상가동 107, 108호 (동패동)","10956","씨유 운정물향기10단지점","2026-04-01 17:45:55","I","2026-04-05 00:20:22","","","","74.4",
"80","안전상비의약품 판매업소","01_01_05_P","4201000","PHMH320264201026087500005","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 내곡동 480-9","강원특별자치도 강릉시 범일로 597, 1층 106호 (내곡동)","25602","세븐일레븐 강릉내곡점","2026-04-03 17:12:48","I","2026-04-05 00:20:22","","365644.430838359","472599.756183272","0",
"81","안전상비의약품 판매업소","01_01_05_P","3460000","PHMH320153460023087500014","2015-09-23","","04","취소/말소/만료/정지/중지","24","직권폐업","2026-04-03","","","","","","","대구광역시 수성구 범어동 198번지 1호","대구광역시 수성구 달구벌대로 2484 (범어동)","42087","씨유 대구범어점","2026-04-03 16:08:25","U","2026-04-05 02:40:00","","347548.941260742","263286.229658666","0",
"82","안전상비의약품 판매업소","01_01_05_P","3460000","PHMH320133460023087500022","2013-04-08","","04","취소/말소/만료/정지/중지","24","직권폐업","2026-04-02","","","","053-784-7011","","","","대구광역시 수성구 지범로21길 30 (지산동)","42193","세븐일레븐대구지산제일점","2026-04-03 09:08:46","U","2026-04-05 02:40:00","","347893.61766866","259681.711162565","0",
"83","안전상비의약품 판매업소","01_01_05_P","3510500","PHMH320183510021087500025","2018-06-14","","01","영업/정상","13","영업중","","","","","032-437-9432","","","인천광역시 미추홀구 주안동 62-2","인천광역시 미추홀구 석바위로 129, 에이동 1층 일부호 (주안동)","22134","씨유 주안웰컴점","2026-04-03 17:08:12","U","2026-04-05 02:40:00","","172261.096109898","439797.552333959","42.9",
"84","안전상비의약품 판매업소","01_01_05_P","4231000","PHMH320224230018087500011","2022-09-19","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 교동 783-9","강원특별자치도 속초시 미시령로3337번길 2, 상가동 1층 103,104호 (교동)","24819","지에스(GS)25 속초늘푸른점","2026-04-03 11:30:56","U","2026-04-05 02:40:00","","337608.513295477","523659.528104403","128.4",
"85","안전상비의약품 판매업소","01_01_05_P","4490000","PHMH320194490260087500026","2019-11-05","","03","폐업","03","폐업","2026-04-02","","","","","","","충청남도 천안시 동남구 신방동 1061번지","충청남도 천안시 동남구 통정12로 24, 1층 (신방동)","31204","씨유천안아인스점","2026-04-03 17:51:27","U","2026-04-05 02:40:00","","211604.626961631","364107.548500035","0",
"86","안전상비의약품 판매업소","01_01_05_P","5310000","PHMH320205310029087500008","2020-02-19","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 호탄동 606번지 1호","경상남도 진주시 가호로 78 (호탄동)","52819","씨유진주호탄점","2026-04-03 11:26:53","U","2026-04-05 02:40:00","","301478.638084704","185575.30627567","140",
"87","안전상비의약품 판매업소","01_01_05_P","3260000","PHMH320213260022087500011","2021-12-28","","03","폐업","03","폐업","2026-04-03","","","","","","","부산광역시 서구 서대신동3가 271-2","부산광역시 서구 대영로45번길 102(서대신동3가)","49226","지에스(GS)25 서대신점","2026-04-03 09:48:18","U","2026-04-05 02:40:00","","383558.900870829","181276.627932669","79.2",
"88","안전상비의약품 판매업소","01_01_05_P","3300000","PHMH320153300024087500024","2015-12-03","","01","영업/정상","13","영업중","","","","","051-552-0907","","","부산광역시 동래구 온천동 213번지","부산광역시 동래구 금강로124번길 25 (온천동)","47709","GS25 온천중앙점","2026-04-03 13:52:57","U","2026-04-05 02:40:00","","389449.1532201","193126.982070016","0",
"89","안전상비의약품 판매업소","01_01_05_P","3510500","PHMH320213510513087500056","2021-08-26","","01","영업/정상","13","영업중","","","","","","","","인천광역시 미추홀구 주안동 222-16","인천광역시 미추홀구 미추홀대로719번길 24, 1층 (주안동)","22136","씨유주안서로점","2026-04-03 16:32:54","U","2026-04-05 02:40:00","","171513.776260192","440015.764907756","93",
"90","안전상비의약품 판매업소","01_01_05_P","4990000","PHMH320254990020087500002","2025-10-02","","03","폐업","03","폐업","2026-04-02","","","","","","","전라남도 완도군 완도읍 군내리 765-2","전라남도 완도군 완도읍 청해진남로 31, 1층 101호","59123","GS25 완도청해진점","2026-04-03 15:40:45","U","2026-04-05 02:40:00","","177451.918126934","90552.4809767055","0",
"91","안전상비의약품 판매업소","01_01_05_P","4520000","PHMH320214520031087500018","2021-05-24","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 용화동 1386","충청남도 아산시 용화고길 30 (용화동)","31572","씨유아산용화제일점","2026-04-03 13:30:22","U","2026-04-05 02:40:00","","200389.709372398","363485.126439695","0",
"92","안전상비의약품 판매업소","01_01_05_P","5380000","PHMH320125380021087500113","2012-11-16","","03","폐업","03","폐업","2026-04-03","","","","055-362-0925","","","경상남도 양산시 소주동 147-1 천성리버타운","경상남도 양산시 소주회야1길 8, 127동 26,28호 (소주동)","50514","GS25양산장백점","2026-04-03 11:05:59","U","2026-04-05 02:40:00","","396117.250752628","214458.222634646","56.1",
"93","안전상비의약품 판매업소","01_01_05_P","3740000","PHMH320193740033087500006","2019-03-08","","03","폐업","03","폐업","2026-04-01","","","","","","","경기도 수원시 팔달구 지동 73번지 5호","경기도 수원시 팔달구 중부대로 119 (지동)","16249","GS25 팔달유진점","2026-04-03 16:24:59","U","2026-04-05 02:40:00","","202533.956951485","419604.657370363","0",
"94","안전상비의약품 판매업소","01_01_05_P","4020000","PHMH320124020028087500067","2012-11-19","","03","폐업","03","폐업","2026-04-02","","","","031-399-0772","","435-040","경기도 군포시 산본동 1118번지 6호","경기도 군포시 수리산로203번안길 10 (산본동)","15820","GS25 군포궁내점","2026-04-03 11:18:26","U","2026-04-05 02:40:00","","193109.936296636","429410.553538556","0",
"95","안전상비의약품 판매업소","01_01_05_P","3930000","PHMH320203930154087500047","2020-09-28","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 와동 800-17","경기도 안산시 단원구 화정천동로 456, 1층 (와동)","15248","씨유 안산와동기쁨점","2026-04-03 13:09:33","U","2026-04-05 02:40:00","","183878.680305834","427010.751886717","0",
"96","안전상비의약품 판매업소","01_01_05_P","3120000","PHMH320223120033087500017","2022-08-23","","03","폐업","03","폐업","2026-04-03","","","","","","","서울특별시 서대문구 대현동 90-70 파라타워","서울특별시 서대문구 신촌로 163, 파라타워 101호일부호 (대현동)","03766","세븐일레븐 이대파라타워점","2026-04-03 11:11:58","U","2026-04-05 02:40:00","","194992.480881426","450528.825988678","0",
"97","안전상비의약품 판매업소","01_01_05_P","5540000","PHMH320225540016087500028","2022-08-25","","01","영업/정상","13","영업중","","","","","","","","경기도 광주시 역동 289-2","경기도 광주시 광주역6로 2, 1층 1호 (역동)","12764","GS(지에스)25 광주역동자이점","2026-04-03 13:47:29","U","2026-04-05 02:40:00","","222154.126785268","433641.248169394","60",
"98","안전상비의약품 판매업소","01_01_05_P","3300000","PHMH320203300024087500026","2020-11-26","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 명륜동 700-149","부산광역시 동래구 명륜로207번길 41 (명륜동)","47741","씨유 명륜스카이점","2026-04-03 13:53:22","U","2026-04-05 02:40:00","","389385.014745461","192324.678658911","0",
"99","안전상비의약품 판매업소","01_01_05_P","3070000","PHMH320203070034087500032","2020-11-26","","03","폐업","03","폐업","2026-04-03","","","","","","","서울특별시 성북구 종암동 135 종암2차 SK VIEW","서울특별시 성북구 종암로24길 35, 상가동 101, 102호 (종암동, 종암2차 SK VIEW)","02798","씨유 종암SK2차점","2026-04-03 11:38:33","U","2026-04-05 02:40:00","","203002.648134708","455494.839200286","0",
"100","안전상비의약품 판매업소","01_01_05_P","3780000","PHMH320263780064087500005","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 분당구 삼평동 728 봇들마을6단지아파트","경기도 성남시 분당구 동판교로 212, 가상가동 1층 105.106호 (삼평동, 봇들마을6단지아파트)","13491","지에스25 판교봇들마을","2026-04-04 15:53:11","I","2026-04-06 00:20:22","","210396.44570146","433205.912545272","0",
