번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),자치단체코드,업체유형명,자본금,지정정비업종명,면허일자,면허유효기간시작일자,면허유효기간종료일자,자격면허발급기관,Unnamed: 36,record_key
26,국제물류주선업,11_45_01_P,6260000,6260000-63-1318,2007-07-23,,1,영업/정상,10,운행,,,,,514450505.0,,48930,부산광역시 중구 중앙동4가 36-14 은산빌딩,"부산광역시 중구 해관로 65, 은산빌딩 10층(중앙동4가)",48930.0,스타해운항공(주),2026-02-10 00:00:00,U,2026-02-12 02:40:00,,385502.492320068,180297.579330875,6260000,국제물류주선업,300000000,,,,,,,스타해운항공(주)_부산광역시중구중앙동4가36-14은산빌딩
43,국제물류주선업,11_45_01_P,6260000,6260000-63-187,2006-06-17,,1,영업/정상,10,운행,,,,,512900905.0,,,부산광역시 사하구 구평동 468번지 14호,부산광역시 사하구 감천항로 315 (구평동),,한국엠씨씨로지스틱스(주),2026-02-20 00:00:00,U,2026-02-22 02:40:00,,,,6260000,국제물류주선업,16999999500,,,,,,,한국엠씨씨로지스틱스(주)_부산광역시사하구구평동468번지14호
23,국제물류주선업,11_45_01_P,6260000,6260000-63-112,2005-05-16,,1,영업/정상,10,운행,,,,,514414912.0,,48058,부산광역시 해운대구 우동 1468번지 케이엔엔타워 2408호,"부산광역시 해운대구 센텀서로 30, 케이엔엔타워 2408호 (우동)",48058.0,(주)글로텍,2026-02-10 00:00:00,U,2026-02-12 02:40:00,,393851.969576247,187910.040763301,6260000,국제물류주선업,1165459970,,,,,,,(주)글로텍_부산광역시해운대구우동1468번지케이엔엔타워2408호
27,국제물류주선업,11_45_01_P,6260000,6260000-63-166,2005-04-19,,1,영업/정상,10,운행,,,,,514412400.0,,,,부산광역시 강서구 과학산단2로42번길 11 (지사동),46743.0,(주)짐모아인터내쇼날,2026-02-11 00:00:00,U,2026-02-13 02:40:00,,366864.41726754,185293.445913518,6260000,국제물류주선업,300000000,,,,,,,(주)짐모아인터내쇼날_
5,국제물류주선업,11_45_01_P,6260000,6260000-63-330,2005-04-14,,1,영업/정상,10,운행,,,,,516043483.0,,,부산광역시 중구 중앙동4가 79번지 1호,부산광역시 중구 충장대로9번길 52 (중앙동4가),,인터지스(주),2026-01-30 00:00:00,U,2026-02-04 11:04:37,,,,6260000,국제물류주선업,14873936900,,,,,,,인터지스(주)_부산광역시중구중앙동4가79번지1호
7,국제물류주선업,11_45_01_P,6260000,6260000-63-457,2005-02-28,,1,영업/정상,10,운행,,,,,512438380.0,,48941,부산광역시 중구 중앙동4가 25-4 동원산업빌딩7층,"부산광역시 중구 중앙대로 70, 동원산업빌딩 7층 (중앙동4가)",48941.0,(주)씨디엠해운항공,2026-01-30 00:00:00,U,2026-02-04 11:04:37,,385637.167034815,180199.557790712,6260000,국제물류주선업,300000000,,,,,,,(주)씨디엠해운항공_부산광역시중구중앙동4가25-4동원산업빌딩7층
58,국제물류주선업,11_45_01_P,6260000,6260000-63-494,2002-10-14,,1,영업/정상,10,운행,,,,,514419031.0,,617-809,부산광역시 사상구 괘법동   578번지 산업용품유통상가 10동 213호,"부산광역시 사상구 괘감로 37, 10동 213호 (괘법동,산업용품유통상가)",,벌크마린(주),2026-02-25 00:00:00,U,2026-02-27 02:40:00,,,,6260000,국제물류주선업,400000000,,,,,,,벌크마린(주)_부산광역시사상구괘법동578번지산업용품유통상가10동213호
25,국제물류주선업,11_45_01_P,6260000,6260000-63-451,2001-08-27,,1,영업/정상,10,운행,,,,,514412072.0,,48935,부산광역시 중구 중앙동4가 86-3 국일빌딩 305호,"부산광역시 중구 충장대로13번길 14, 국일빌딩 305호 (중앙동4가)",48935.0,와이비해운항공 (주),2026-02-10 00:00:00,U,2026-02-12 02:40:00,,385769.574832799,180512.545626241,6260000,국제물류주선업,300000000,,,,,,,와이비해운항공(주)_부산광역시중구중앙동4가86-3국일빌딩305호
22,국제물류주선업,11_45_01_P,6260000,6260000-63-458,2001-04-10,,1,영업/정상,10,운행,,,,,517459111.0,,48060,부산광역시 해운대구 우동 1514번지 센텀리더스마크,"부산광역시 해운대구 APEC로 17, 센텀리더스마크 3607호(우동)",48060.0,(주)제주항공해운화물,2026-02-09 00:00:00,U,2026-02-11 02:40:00,,394209.294344881,187280.207931335,6260000,국제물류주선업,300000000,,,,,,,(주)제주항공해운화물_부산광역시해운대구우동1514번지센텀리더스마크
56,국제물류주선업,11_45_01_P,6300000,6300000-63-1,2000-09-09,,1,영업/정상,10,운행,,,,,,,,대전광역시 유성구 봉명동 535번지 5호 한진오피스텔2219호 2동,"대전광역시 유성구 대학로 31, 2동 (봉명동,한진오피스텔2219호)",,(주) 삼우에스엔티,2026-02-25 00:00:00,U,2026-02-27 02:40:00,,,,6300000,국제물류주선업,300000000,,,,,,,(주)삼우에스엔티_대전광역시유성구봉명동535번지5호한진오피스텔2219호2동
48,국제물류주선업,11_45_01_P,6260000,6260000-63-509,1997-10-31,,1,영업/정상,10,운행,,,,,514640051.0,,48957,부산광역시 중구 중앙동2가 3번지,부산광역시 중구 해관로 30 (중앙동2가),48957.0,이펙트해운무역(주),2026-02-23 00:00:00,U,2026-02-25 02:40:00,,385565.687930937,179949.49925438,6260000,국제물류주선업,300000000,,,,,,,이펙트해운무역(주)_부산광역시중구중앙동2가3번지
12,국제물류주선업,11_45_01_P,6260000,6260000-63-549,1997-03-28,,1,영업/정상,10,운행,,,,,516455822.0,,,부산광역시 남구 문현동 815번지 한일오피스텔 908호,"부산광역시 남구 자성로 152, 908호 (문현동,한일오피스텔)",,(주)대신운송,2026-02-05 00:00:00,U,2026-02-07 02:40:00,,,,6260000,국제물류주선업,300000000,,,,,,,(주)대신운송_부산광역시남구문현동815번지한일오피스텔908호
